target,category,dwell_s,n_visits,dwell_pct
Wall,support,308.2801,120,60.5917
Checker,task,174.5956,98,34.3164
Wood,task,24.2979,126,4.7757
Terrain,task,0.9300,2,0.1828
Writebook_5,tutorial,0.4920,4,0.0967
Writebook_4,tutorial,0.1442,1,0.0283
Paper_1,tutorial,0.0426,1,0.0084
