window_start_s,window_end_s,dominant_activity,n_samples,mean_residual_pupil_mm,mean_raw_pupil_mm,mean_gaze_entropy_bits,mean_target_switch_rate_hz,task_dwell_s,tutorial_dwell_s,support_dwell_s,confusion_frac,n_rescue_saccades
97.6802,99.6802,SecarSemente,37,0.5116,3.1867,4.3156,3.5000,0.0000,0.0000,1.9108,1.0000,0
99.6802,101.6802,SecarSemente,39,0.4948,3.1694,4.2189,3.5000,0.0000,0.0000,1.9601,1.0000,0
101.6802,103.6802,SecarSemente,41,0.5453,3.2468,4.2189,3.2317,1.2591,0.0000,0.7339,0.9512,0
103.6802,105.6802,SecarSemente,45,0.7704,3.4895,3.6868,3.1444,1.9339,0.0000,0.0000,0.0000,0
105.6802,107.6802,SecarSemente,48,0.7919,3.5105,3.4707,3.4688,1.9487,0.0000,0.0000,0.0000,0
107.6802,109.6802,SecarSemente,44,0.8895,3.6045,3.5116,1.1705,1.7168,0.0000,0.2330,0.0000,0
109.6802,111.6802,SecarSemente,42,0.4991,3.2149,3.9207,1.0000,1.9487,0.0000,0.0000,0.0000,0
111.6802,113.6802,SecarSemente,43,0.4406,3.1592,3.9207,2.1047,1.9851,0.0000,0.0000,0.0000,0
113.6802,115.6802,SecarSemente,42,0.1959,2.9145,3.8285,3.3095,1.9495,0.0000,0.0000,0.0000,0
115.6802,117.6802,SecarSemente,42,0.2090,2.9271,3.5687,2.5000,1.9383,0.0000,0.0000,0.0000,0
117.6802,119.6802,SecarSemente,42,0.5688,3.2739,3.5687,2.5000,1.3469,0.0000,0.6354,0.0952,0
119.6802,121.6802,SecarSemente,42,0.3044,3.0230,3.7479,2.5000,1.9166,0.0000,0.0000,0.0000,0
121.6802,123.6802,SecarSemente,44,-0.2072,2.5113,4.0115,2.5000,1.9835,0.0000,0.0000,0.0000,0
123.6802,125.6802,SecarSemente,44,-0.1002,2.6184,4.0115,0.5114,1.9490,0.0000,0.0000,0.0000,0
125.6802,127.6802,SecarSemente,44,0.4698,3.1883,3.7323,0.0000,1.9275,0.0000,0.0000,0.0000,0
127.6802,129.6802,SecarSemente,45,0.5903,3.3088,3.5879,1.8667,1.9818,0.0000,0.0000,0.0000,0
129.6802,131.6802,SecarSemente,44,0.0174,2.7361,3.5879,5.2386,1.9492,0.0000,0.0000,0.0000,0
131.6802,133.6802,SecarSemente,44,0.2015,2.9165,4.4887,7.1477,1.7379,0.0000,0.1895,0.9545,0
133.6802,135.6802,SecarSemente,44,0.4681,3.1804,4.5316,7.5000,1.9127,0.0000,0.0453,1.0000,0
135.6802,137.6802,SecarSemente,42,0.8128,3.5025,4.4646,7.7619,0.6137,0.0000,1.3354,1.0000,0
