start_s,end_s,duration_s,activity,mean_gaze_entropy_bits,mean_transition_entropy_bits,mean_k_coefficient,mean_confusion_score,n_targets_scanned,targets
11.68019962310791,30.17767906188965,18.49747943878174,CortarCacau,4.611244201660156,1.0868059769722822,0.04505268111824989,0.5799533724784851,5,Wall|Writebook_4|Writebook_5|Checker|Wood
96.07156372070312,103.63420104980469,7.5626373291015625,SecarSemente,4.318735599517822,1.0868059769722822,-0.11259802430868149,0.5908004641532898,3,Wall|Wood|Checker
131.79930114746094,142.09109497070312,10.291793823242188,SecarSemente,4.370053768157959,1.0868059769722822,0.44774335622787476,0.5904340744018555,3,Checker|Wall|Wood
169.77029418945312,177.8096923828125,8.039398193359375,DescascarSemente,4.272757053375244,1.0868059769722822,0.1592342108488083,0.5676335096359253,3,Checker|Wood|Wall
191.9989013671875,198.20440673828125,6.20550537109375,DescascarSemente,4.4436211585998535,1.0868059769722822,0.10127153247594833,0.5803734660148621,3,Wall|Checker|Wood
213.8856964111328,235.3280029296875,21.442306518554688,DescascarSemente,4.4894866943359375,1.0868059769722822,0.5822786092758179,0.6315388083457947,3,Wall|Wood|Checker
243.25660705566406,246.0731964111328,2.81658935546875,DescascarSemente,4.328080654144287,1.0868059769722822,1.667974591255188,0.5676473379135132,3,Checker|Wood|Wall
268.0047912597656,271.7572937011719,3.75250244140625,Moer,4.087802410125732,1.0868059769722822,0.6791384816169739,0.5389590859413147,1,Wall
274.80999755859375,281.5693054199219,6.759307861328125,Moer,4.4428815841674805,1.0868059769722822,1.758262038230896,0.5809690356254578,3,Wall|Wood|Checker
282.8987121582031,286.14788818359375,3.249176025390625,Moer,4.9499640464782715,1.0868059769722822,0.40052828192710876,0.5775960087776184,1,Wall
286.9159851074219,299.19061279296875,12.274627685546875,Moer,4.758403301239014,1.0868059769722822,-0.7494487166404724,0.6553264856338501,3,Wall|Wood|Checker
315.4735107421875,347.0743103027344,31.600799560546875,Misturar,4.800535202026367,1.0868059769722822,-0.367184579372406,0.7020346522331238,5,Checker|Wall|Wood|Writebook_5|Paper_1
350.34649658203125,360.6167907714844,10.270294189453125,Misturar,4.679184436798096,1.0868059769722822,0.17935924232006073,0.6544178128242493,3,Wall|Wood|Checker
368.4473876953125,373.6466064453125,5.19921875,Misturar,4.026943206787109,1.0868059769722822,-1.001794457435608,0.5631670355796814,3,Wall|Wood|Checker
430.95001220703125,441.9444885253906,10.994476318359375,Misturar,4.053882598876953,1.0868059769722822,-0.34078747034072876,0.5521079301834106,3,Wall|Checker|Wood
455.84600830078125,472.3418884277344,16.495880126953125,Misturar,4.355353832244873,1.0868059769722822,-0.13300317525863647,0.5992321372032166,3,Wall|Wood|Checker
476.2262878417969,488.7799072265625,12.553619384765625,Misturar,4.688592910766602,1.0868059769722822,0.36137524247169495,0.6596935391426086,3,Wall|Wood|Checker
498.4458923339844,507.21038818359375,8.764495849609375,Misturar,4.351027488708496,1.0868059769722822,-0.8339436054229736,0.611751914024353,3,Wall|Wood|Checker
