SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,TargetCategory,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime,AvgPupil_raw,EffectiveLuminance,PredictedPupil,ResidualPupil,VOICategory,GazeEntropy,TargetSwitchRate,FixationId,KCoefficient,RescueSaccade,ConfusionScore,Confusion
17.9878,Default,CortarCacau,Writebook_5,-826,Default,tutorial,-1.309322,1.452938,0.8922272,-8.940697e-08,0.0,-1.0,2.105683,0.02236234,1.659996,-0.7256857,-0.6324242,-0.09833291,0.7683555,0.516027,0.4096,False,2.875759,2.791388,2.833573,True,True,True,True,True,False,0.2815514,2.833573,0.425,2.8888206,-0.055247545,tutorial,4.922903,6.5,3,-0.43059397,True,0.77069944,True
18.62033,Default,CortarCacau,Wall,23926,Barrier,support,-0.665388,1.304284,0.772979,1.0,0.0,0.0,1.701751,0.06959973,1.645608,-0.723433,-0.4319007,-0.200572,0.8793365,0.9999995,0.9999996,False,3.051765,3.030435,3.0411,True,True,True,True,True,True,0.0,3.0411,0.635,2.8929498,0.1481502,support,4.922903,6.5,4,0.081520334,True,0.6845806,True
21.47046,Default,CortarCacau,Writebook_5,-826,Default,tutorial,-1.657462,1.327839,0.8922269,-8.940697e-08,0.0,-1.0,2.098133,-0.01847088,1.661102,-0.724581,-0.7811668,-0.1588379,0.603779,0.9999999,0.9999999,False,2.869384,3.118244,2.993814,True,True,True,True,True,True,0.0,2.993814,0.425,2.8905988,0.10321522,tutorial,4.922903,7.5,11,-5.4140596,True,0.8845806,True
46.15283,Default,CortarCacau,Paper_0,-778,Default,tutorial,0.4427587,1.77703,-2.609433,-0.9375613,0.0,0.3478201,1.577087,0.1362946,1.731854,-0.9114052,-0.01374833,0.02864511,-0.9994951,0.9999999,0.9999999,False,3.487714,3.361967,3.42484,True,True,True,True,True,True,0.0,3.42484,0.425,2.8836172,0.5412228,tutorial,3.4852808,8.0,63,0.24670784,True,0.4,False
