window_start_s,window_end_s,dominant_activity,n_samples,mean_residual_pupil_mm,mean_raw_pupil_mm,mean_gaze_entropy_bits,mean_target_switch_rate_hz,task_dwell_s,tutorial_dwell_s,support_dwell_s,confusion_frac,n_rescue_saccades
105.6047,107.6047,CortarCacau,44,0.1305,3.0048,5.0662,10.0682,1.7917,0.0000,0.1468,1.0000,0
107.6047,109.6047,CortarCacau,44,-0.1965,2.6656,5.0662,7.6364,1.2115,0.0000,0.7123,1.0000,0
109.6047,111.6047,CortarCacau,48,0.3753,3.2266,4.9760,7.2500,0.7782,0.0000,1.2032,1.0000,0
111.6047,113.6047,CortarCacau,47,0.1747,3.0077,4.9721,8.1277,0.0000,0.0000,1.9612,1.0000,0
113.6047,115.6047,CortarCacau,47,0.5202,3.3609,4.7672,11.0426,0.5368,0.0000,1.3915,1.0000,0
115.6047,117.6047,CortarCacau,44,0.7996,3.6461,4.4906,11.7159,0.6905,0.0000,1.2782,1.0000,0
117.6047,119.6047,CortarCacau,47,0.4281,3.2813,4.4906,14.7872,0.7349,0.0000,1.2030,1.0000,0
119.6047,121.6047,CortarCacau,49,0.0106,2.8691,3.3090,17.2857,1.3256,0.0000,0.6679,0.2857,0
121.6047,123.6047,CortarCacau,47,-0.0106,2.8504,3.0432,16.9468,1.2005,0.0000,0.7479,0.1702,0
123.6047,125.6047,CortarCacau,48,-0.2425,2.6262,3.2458,14.1146,1.5591,0.0000,0.3775,0.0000,0
125.6047,127.6047,CortarCacau,48,-0.4631,2.3962,3.6914,12.5417,1.2364,0.0000,0.7018,0.0000,0
127.6047,129.6047,CortarCacau,48,-0.9254,1.9302,3.6914,12.4479,1.2141,0.0000,0.7456,0.0833,0
129.6047,131.6047,CortarCacau,49,-0.8988,1.9412,4.5388,12.8980,0.0790,0.0000,1.8801,0.8163,0
131.6047,133.6047,CortarCacau,45,0.0529,2.9182,4.7294,11.7000,1.4524,0.0000,0.4997,1.0000,0
133.6047,135.6047,CortarCacau,46,-0.5533,2.3072,4.6311,9.7500,1.3468,0.0000,0.6018,1.0000,0
135.6047,137.6047,CortarCacau,43,0.6514,3.4851,4.3182,9.5698,0.0345,0.0000,1.9394,1.0000,0
137.6047,139.6047,CortarCacau,40,-0.0052,2.8526,4.3182,8.6250,1.0996,0.0000,0.8462,1.0000,0
139.6047,141.6047,CortarCacau,43,-0.2005,2.6461,4.5953,7.8721,0.5131,0.0000,1.4562,1.0000,0
141.6047,143.6047,CortarCacau,43,0.1264,2.9758,5.0192,11.3488,0.6089,0.0000,1.2931,1.0000,0
143.6047,145.6047,CortarCacau,40,-0.0314,2.8208,5.0192,12.0500,0.9836,0.0000,0.9995,1.0000,0
145.6047,147.6047,CortarCacau,48,0.3924,3.2475,4.6416,11.5625,0.9689,0.0000,1.0261,1.0000,0
147.6047,149.6047,CortarCacau,48,0.1981,3.0655,4.3719,10.8542,1.6134,0.0000,0.3215,1.0000,0
149.6047,151.6047,CortarCacau,47,-0.3068,2.5269,4.3821,10.0426,0.0000,0.0000,1.9352,1.0000,0
151.6047,153.6047,CortarCacau,50,0.1027,2.9552,4.5315,7.8900,0.8019,0.0000,1.1663,1.0000,0
153.6047,155.6047,CortarCacau,52,0.2580,3.1156,4.5315,8.5288,1.0274,0.0000,0.9451,1.0000,0
155.6047,157.6047,CortarCacau,49,-0.0694,2.7741,4.4396,11.4898,0.5312,0.0000,1.4162,1.0000,0
157.6047,159.6047,CortarCacau,46,0.1042,2.9507,4.3990,12.0000,0.5093,0.0000,1.4276,1.0000,0
159.6047,161.6047,CortarCacau,48,0.1033,2.9561,4.3268,10.6562,0.6901,0.0000,1.2703,0.8542,0
161.6047,163.6047,CortarCacau,46,0.1663,3.0100,3.9658,9.1196,0.5836,0.0000,1.3978,0.5435,0
163.6047,165.6047,CortarCacau,46,0.0818,2.9152,3.9658,7.8261,0.0000,0.0000,1.9628,0.1522,0
165.6047,167.6047,CortarCacau,48,0.4170,3.2571,3.8338,5.9062,0.2920,0.0000,1.6576,0.1875,0
167.6047,169.6047,CortarCacau,48,0.4614,3.2961,3.7395,5.5000,0.0448,0.0000,1.9055,0.2708,0
169.6047,171.6047,CortarCacau,49,-0.0447,2.8149,3.6665,5.4286,1.4272,0.0000,0.5203,0.1224,0
171.6047,173.6047,CortarCacau,46,0.0093,2.8452,3.0236,3.2500,0.0474,0.0000,1.9139,0.0217,0
173.6047,175.6047,CortarCacau,46,0.2065,3.0402,3.0236,4.7826,0.0000,0.0000,1.9597,0.0000,0
175.6047,177.6047,CortarCacau,47,0.6942,3.5274,3.5488,6.6064,0.0000,0.0000,1.9726,0.5106,0
177.6047,179.6047,CortarCacau,47,1.0374,3.8903,4.0520,6.9468,1.0265,0.0000,0.9139,1.0000,0
179.6047,181.6047,CortarCacau,49,0.1910,3.0549,4.0520,10.5204,1.3445,0.0000,0.6271,1.0000,0
181.6047,183.6047,CortarCacau,45,0.2328,3.0723,4.3595,11.5000,0.0317,0.0000,1.9079,1.0000,0
183.6047,185.6047,CortarCacau,48,0.2079,3.0661,4.3595,9.9375,1.2562,0.0000,0.7026,1.0000,0
185.6047,187.6047,CortarCacau,47,-0.0126,2.8223,4.0247,8.4043,0.0774,0.0000,1.8946,0.5745,0
187.6047,189.6047,CortarCacau,47,0.4337,3.2682,3.5726,9.2021,0.0426,0.0000,1.9059,0.2128,0
189.6047,191.6047,CortarCacau,44,0.3637,3.1988,3.5726,7.8636,0.0367,0.0000,1.9151,0.2727,0
191.6047,193.6047,CortarCacau,47,0.3667,3.2367,3.9132,8.1170,1.7074,0.0000,0.2441,0.1277,0
193.6047,195.6047,CortarCacau,48,0.0341,2.9086,3.9938,7.9271,1.9120,0.0000,0.0331,0.3750,0
195.6047,197.6047,CortarCacau,49,-0.3262,2.5316,4.0962,7.0000,1.2666,0.0000,0.6899,0.3878,0
197.6047,199.6047,CortarCacau,49,0.1553,2.9896,4.3282,6.0714,0.0000,0.0000,1.9705,1.0000,0
199.6047,201.6047,CortarCacau,49,0.5631,3.4031,4.3282,4.0816,0.4468,0.0000,1.5119,1.0000,0
201.6047,203.6047,CortarCacau,51,0.1794,3.0385,4.7390,3.0588,1.0917,0.0000,0.8669,1.0000,0
203.6047,205.6047,CortarCacau,51,-0.0242,2.8543,4.8044,5.0980,1.9614,0.0000,0.0000,1.0000,0
205.6047,207.6047,CortarCacau,48,-0.1355,2.7231,4.9229,6.8542,0.9914,0.0000,0.9578,1.0000,0
207.6047,209.6047,CortarCacau,47,-0.3368,2.5145,5.0517,9.9362,0.9240,0.0000,1.0395,1.0000,0
209.6047,211.6047,CortarCacau,42,0.0468,2.9200,5.0517,11.6310,1.9394,0.0000,0.0000,1.0000,0
211.6047,213.6047,CortarCacau,44,0.3050,3.1576,4.5865,15.2500,0.7980,0.0000,1.1402,1.0000,0
213.6047,215.6047,CortarCacau,44,-0.3227,2.5533,4.4831,13.7500,1.9421,0.0000,0.0414,1.0000,0
215.6047,217.6047,CortarCacau,46,-0.3795,2.4884,4.4161,12.8370,1.6682,0.0000,0.2590,0.9565,0
217.6047,219.6047,CortarCacau,45,-0.4887,2.3808,3.9697,11.0000,1.5234,0.0000,0.4340,0.0889,0
219.6047,221.6047,CortarCacau,44,-0.6343,2.2431,3.9697,9.5000,1.9525,0.0000,0.0000,0.1591,0
221.6047,223.6047,CortarCacau,47,-0.7955,2.0738,3.8643,7.3511,1.6347,0.0000,0.3464,0.1064,0
223.6047,225.6047,CortarCacau,45,-0.0857,2.7865,3.7446,8.4000,1.6908,0.0000,0.2563,0.1556,0
225.6047,227.6047,CortarCacau,44,-0.2494,2.6186,3.7446,8.8977,1.5277,0.0000,0.4111,0.1364,0
227.6047,229.6047,CortarCacau,47,-0.1367,2.7202,3.7580,6.8830,1.2032,0.0000,0.7800,0.3617,0
229.6047,231.6047,CortarCacau,45,-0.0752,2.7983,3.7612,6.6667,1.7077,0.0000,0.2528,0.0000,0
231.6047,233.6047,CortarCacau,44,0.0556,2.9290,3.7147,7.6818,1.9018,0.0000,0.0460,0.0909,0
233.6047,235.6047,CortarCacau,42,0.0360,2.8786,3.4689,6.5000,0.1440,0.0000,1.8168,0.1429,0
235.6047,237.6047,CortarCacau,39,0.4262,3.2932,3.4689,5.4487,1.6692,0.0000,0.2550,0.1026,0
237.6047,239.6047,CortarCacau,41,0.1984,3.0357,3.6109,6.5732,0.0894,0.0000,1.8596,0.5366,0
239.6047,241.6047,CortarCacau,42,-0.1922,2.6750,4.1161,8.5595,1.5249,0.0000,0.4348,1.0000,0
241.6047,243.6047,CortarCacau,40,0.3638,3.2255,4.1161,8.7750,1.2594,0.0000,0.6773,1.0000,0
243.6047,245.6047,CortarCacau,42,0.0811,2.9217,4.1036,8.7381,0.3014,0.0000,1.6719,1.0000,0
245.6047,247.6047,CortarCacau,40,-0.1440,2.7284,4.0758,7.5875,1.8633,0.0000,0.0990,1.0000,0
247.6047,249.6047,CortarCacau,40,-0.1245,2.7348,4.0758,6.8750,1.1809,0.0000,0.7673,1.0000,0
249.6047,251.6047,CortarCacau,42,-0.2805,2.5866,4.2249,5.6786,1.5580,0.0000,0.3815,1.0000,0
251.6047,253.6047,CortarCacau,42,-0.1636,2.7143,4.4932,3.0000,1.9833,0.0000,0.0000,0.6190,0
253.6047,255.6047,CortarCacau,42,0.0460,2.9234,4.4932,1.3690,1.9036,0.0000,0.0000,0.0952,0
255.6047,257.6047,CortarCacau,43,0.1349,3.0123,4.4932,0.0465,1.9809,0.0000,0.0000,0.0000,0
257.6047,259.6047,CortarCacau,43,-0.1027,2.7748,4.4932,0.0000,1.9620,0.0000,0.0000,0.0000,0
259.6047,261.6047,CortarCacau,42,-0.1392,2.7382,4.4932,0.0000,1.9367,0.0000,0.0000,0.0000,0
261.6047,263.6047,CortarCacau,43,-0.3939,2.4835,4.4932,0.0000,1.9810,0.0000,0.0000,0.0000,0
263.6047,265.6047,CortarCacau,33,-0.2980,2.5794,,0.0000,1.9518,0.0000,0.0000,0.0000,0
265.6047,267.6047,CortarCacau,30,-0.0567,2.8207,,0.0000,1.9405,0.0000,0.0000,0.0000,0
267.6047,269.6047,CortarCacau,6,0.0412,2.9186,,0.0000,0.3425,0.0000,0.0000,0.0000,0
