window_start_s,window_end_s,dominant_activity,n_samples,mean_residual_pupil_mm,mean_raw_pupil_mm,mean_gaze_entropy_bits,mean_target_switch_rate_hz,task_dwell_s,tutorial_dwell_s,support_dwell_s,confusion_frac,n_rescue_saccades
11.7376,13.7376,CortarCacau,35,0.0863,2.8332,4.0954,6.0000,0.0000,0.0000,1.9688,0.0000,0
13.7376,15.7376,CortarCacau,31,-0.0062,2.7460,4.0954,6.2258,0.0695,0.4216,1.4378,0.0000,0
15.7376,17.7376,CortarCacau,32,-0.2218,2.5349,4.0954,7.5781,0.4782,0.2694,1.1940,0.0000,0
17.7376,19.7376,CortarCacau,36,-0.3074,2.4404,4.4943,7.8194,0.0000,0.0000,1.9368,0.3889,0
19.7376,21.7376,CortarCacau,42,-0.2515,2.5014,5.1213,7.3690,0.2252,0.0000,1.7369,1.0000,0
21.7376,23.7376,CortarCacau,45,-0.5785,2.2004,5.1213,5.4556,1.5064,0.0000,0.4756,1.0000,0
23.7376,25.7376,CortarCacau,45,-0.8232,1.9679,4.4701,4.4444,1.9584,0.0000,0.0000,0.4222,0
25.7376,27.7376,CortarCacau,46,-0.9134,1.8771,3.9942,6.3370,1.9136,0.0000,0.0000,0.0000,0
27.7376,29.7376,CortarCacau,48,-0.8258,1.9589,3.9942,5.6979,1.8103,0.0000,0.1787,0.0000,0
29.7376,31.7376,CortarCacau,47,-0.8543,1.9146,4.0269,7.3617,1.0921,0.0000,0.8228,0.0000,0
31.7376,33.7376,CortarCacau,48,-0.8563,1.9177,4.0269,6.8542,1.1125,0.0000,0.8806,0.0000,0
33.7376,35.7376,CortarCacau,44,-0.4447,2.3277,3.9923,5.9205,1.1529,0.0000,0.7706,0.0000,0
35.7376,37.7376,CortarCacau,40,0.1585,2.9283,3.9468,6.1500,1.8173,0.0000,0.1443,0.0000,0
37.7376,39.7376,CortarCacau,40,-0.6223,2.1507,3.9468,5.9625,1.9450,0.0000,0.0000,0.0000,0
39.7376,41.7376,CortarCacau,39,-0.0714,2.6991,3.4126,5.4359,1.8880,0.0000,0.0427,0.0000,0
41.7376,43.7376,CortarCacau,39,0.4217,3.1893,2.7893,3.6154,1.4494,0.0000,0.5203,0.0000,0
43.7376,45.7376,CortarCacau,38,0.3816,3.1391,2.7893,3.5000,0.7141,0.0000,1.2126,0.0000,0
45.7376,47.7376,CortarCacau,37,0.1010,2.8475,2.3608,3.7838,0.0000,0.0000,1.9716,0.0000,0
47.7376,49.7376,CortarCacau,39,-0.2874,2.4597,1.4679,2.5000,0.0000,0.0000,1.9259,0.0000,0
49.7376,51.7376,CortarCacau,42,-0.7109,2.0361,1.4679,1.2619,0.0000,0.0000,1.9822,0.0000,0
51.7376,53.7376,CortarCacau,41,-0.6324,2.1158,1.8468,1.1098,0.0916,0.0000,1.8450,0.0000,0
53.7376,55.7376,CortarCacau,42,-0.6449,2.1022,2.5774,2.0238,0.0000,0.0000,1.9710,0.0000,0
55.7376,57.7376,CortarCacau,42,-0.6474,2.0996,2.5774,3.4405,0.0000,0.0000,1.9628,0.0000,0
57.7376,59.7376,CortarCacau,40,-0.4925,2.2550,2.8410,4.2750,0.0582,0.0000,1.8923,0.0000,0
59.7376,61.7376,CortarCacau,37,-0.3553,2.3969,3.1633,5.9189,0.1105,0.0000,1.8264,0.0000,0
61.7376,63.7376,CortarCacau,37,-0.3652,2.3928,3.1633,7.8378,0.6423,0.0000,1.2827,0.0000,0
63.7376,65.7376,CortarCacau,38,-0.5216,2.2396,3.0944,11.2500,0.6428,0.0000,1.3074,0.0000,0
65.7376,67.7376,CortarCacau,42,-0.4711,2.3092,2.9015,13.8929,1.7353,0.0000,0.2347,0.0000,0
67.7376,69.7376,CortarCacau,41,-0.0732,2.7104,2.9015,14.0244,1.6484,0.0000,0.2911,0.0000,0
69.7376,71.7376,CortarCacau,41,-0.5653,2.2053,3.0953,14.8171,0.6275,0.6486,0.6916,0.0000,0
71.7376,73.7376,CortarCacau,42,-0.4793,2.2914,3.4691,15.0714,1.0818,0.0000,0.8772,0.0000,0
73.7376,75.7376,CortarCacau,38,-0.3527,2.4175,3.4691,13.0658,1.9502,0.0000,0.0000,0.0000,0
75.7376,77.7376,CortarCacau,38,-0.0671,2.7047,3.6190,10.4737,1.9613,0.0000,0.0000,0.0000,0
77.7376,79.7376,CortarCacau,38,-0.2639,2.5063,3.9439,9.8158,1.6721,0.0000,0.2556,0.0000,0
79.7376,81.7376,CortarCacau,39,-0.3463,2.4265,3.9439,9.3333,1.9697,0.0000,0.0000,0.0000,0
81.7376,83.7376,CortarCacau,38,-0.0141,2.7489,3.8958,7.9211,0.9898,0.0000,0.9822,0.0000,0
83.7376,85.7376,CortarCacau,43,0.2644,3.0275,3.6826,5.8953,0.9540,0.0000,0.9841,0.0000,0
85.7376,87.7376,CortarCacau,39,-0.1479,2.5996,3.6826,5.5256,0.0000,0.0000,1.9305,0.0000,0
87.7376,89.7376,CortarCacau,40,-0.5015,2.2519,3.8448,6.5125,0.3430,0.0000,1.6170,0.2250,0
89.7376,91.7376,SecarSemente,39,-0.1722,2.5746,4.4036,6.2949,0.0000,0.0000,1.9614,1.0000,0
91.7376,93.7376,SecarSemente,39,-0.2819,2.4703,4.4036,7.1026,0.0591,0.0000,1.9123,1.0000,0
93.7376,95.7376,SecarSemente,38,-0.1714,2.6049,4.4380,7.5395,1.5786,0.0000,0.3371,1.0000,0
95.7376,97.7376,SecarSemente,44,0.5534,3.3213,4.6651,7.0000,0.9692,0.0000,0.9905,1.0000,0
97.7376,99.7376,SecarSemente,45,0.4916,3.2647,4.6651,8.1111,1.3010,0.0000,0.6807,1.0000,0
99.7376,101.7376,SecarSemente,50,0.0705,2.8187,4.8246,6.8800,0.0000,0.0000,1.9233,1.0000,0
101.7376,103.7376,SecarSemente,53,0.0930,2.8493,4.9974,4.7170,0.5349,0.0000,1.4617,1.0000,0
103.7376,105.7376,SecarSemente,46,0.3057,3.0699,4.9952,5.5978,0.6704,0.0000,1.2693,1.0000,0
105.7376,107.7376,SecarSemente,48,0.2333,2.9983,4.9646,8.8438,0.8589,0.0000,1.1229,1.0000,0
107.7376,109.7376,SecarSemente,46,0.3279,3.1015,4.9646,7.6957,1.3163,0.0000,0.6302,1.0000,0
109.7376,111.7376,SecarSemente,38,0.0863,2.8520,4.6953,6.6579,0.8536,0.0000,1.0953,0.6053,0
111.7376,113.7376,SecarSemente,42,-0.2091,2.5384,4.2824,6.6190,0.0000,0.0000,1.9250,0.0000,0
113.7376,115.7376,SecarSemente,45,-0.0849,2.6621,4.2824,6.3000,0.0000,0.0000,1.9846,0.0000,0
115.7376,117.7376,SecarSemente,46,0.1242,2.8726,4.2909,2.9239,0.0000,0.0000,1.9482,0.6087,0
117.7376,119.7376,SecarSemente,42,0.1487,2.9198,4.2964,1.5476,1.2043,0.0000,0.7435,1.0000,0
119.7376,121.7376,SecarSemente,42,0.0246,2.7719,4.2964,2.9048,0.0000,0.0000,1.9486,1.0000,0
121.7376,123.7376,SecarSemente,42,-0.1597,2.5870,4.8783,3.5000,0.0000,0.0000,1.9757,1.0000,0
123.7376,125.7376,SecarSemente,44,0.0741,2.8287,5.0152,2.8068,0.4693,0.0000,1.4885,1.0000,0
125.7376,127.7376,SecarSemente,45,-0.3233,2.4401,4.9813,3.6889,0.5996,0.0000,1.3483,1.0000,0
127.7376,129.7376,SecarSemente,45,-0.0671,2.7184,4.5066,6.6333,1.8157,0.0000,0.1259,1.0000,0
129.7376,131.7376,SecarSemente,40,0.2670,3.0363,4.5066,6.9000,1.1605,0.0000,0.8139,1.0000,0
131.7376,133.7376,SecarSemente,40,0.1714,2.9403,4.3087,7.0125,0.7697,0.0000,1.1648,0.8000,0
133.7376,135.7376,SecarSemente,44,0.2645,3.0549,3.5171,9.8977,1.9594,0.0000,0.0000,0.0000,0
135.7376,137.7376,SecarSemente,43,0.1344,2.9172,3.5171,10.9186,1.6708,0.0000,0.2896,0.0000,0
137.7376,139.7376,SecarSemente,41,0.3918,3.1482,3.4651,9.4878,0.4338,0.0977,1.4295,0.0000,0
139.7376,141.7376,SecarSemente,43,0.3755,3.1598,3.3837,7.6744,1.6929,0.0000,0.2780,0.0000,0
141.7376,143.7376,SecarSemente,41,0.0768,2.8371,3.3837,7.2439,0.5134,0.0000,1.3826,0.0000,0
143.7376,145.7376,SecarSemente,42,-0.4460,2.3010,3.5327,5.4524,0.0535,0.0000,1.9089,0.0000,0
145.7376,147.7376,SecarSemente,38,-0.2680,2.4795,3.6681,2.8816,0.0000,0.0000,1.9503,0.0000,0
147.7376,149.7376,SecarSemente,37,-0.3504,2.3965,3.6681,5.4865,0.0000,0.0000,1.9298,0.0000,0
149.7376,151.7376,DescascarSemente,38,-0.4148,2.3322,3.6220,8.3816,0.0000,0.0000,1.9826,0.0000,0
151.7376,153.7376,DescascarSemente,38,-0.0805,2.6778,3.5513,9.4474,0.5222,0.0000,1.4035,0.0000,0
153.7376,155.7376,DescascarSemente,38,-0.3573,2.3965,3.5513,11.0395,0.2561,0.1527,1.5193,0.0000,0
155.7376,157.7376,DescascarSemente,38,-0.3943,2.3662,3.6259,12.6447,0.5447,0.0000,1.4279,0.0000,0
157.7376,159.7376,DescascarSemente,40,-0.3684,2.3921,3.8663,13.1875,0.6680,0.0000,1.2681,0.0000,0
159.7376,161.7376,DescascarSemente,43,-0.0381,2.7203,3.8663,13.1395,0.5581,0.0000,1.3987,0.0000,0
161.7376,163.7376,DescascarSemente,43,-0.0436,2.7274,4.1390,12.1860,1.1138,0.0000,0.8569,0.3488,0
163.7376,165.7376,DescascarSemente,41,0.3882,3.1463,4.6480,12.1585,0.5372,0.0571,1.3208,1.0000,0
165.7376,167.7376,DescascarSemente,45,0.1211,2.8761,4.6480,11.7778,0.2776,0.0450,1.6485,1.0000,0
167.7376,169.7376,DescascarSemente,41,0.7381,3.4897,4.3377,12.3659,0.3929,0.0000,1.5595,0.4634,0
169.7376,171.7376,DescascarSemente,41,0.9705,3.7372,4.0697,13.3171,1.4373,0.0000,0.5458,0.0000,0
171.7376,173.7376,DescascarSemente,42,0.6664,3.4302,4.0697,12.4167,1.0144,0.0000,0.9354,0.0000,0
173.7376,175.7376,DescascarSemente,42,0.7600,3.5158,4.1576,10.2262,0.3283,0.0000,1.5874,0.0000,0
175.7376,177.7376,DescascarSemente,45,0.5365,3.3092,4.2064,7.9111,1.2728,0.0000,0.6984,0.0000,0
177.7376,179.7376,DescascarSemente,45,0.5729,3.3209,4.2064,5.9111,0.0000,0.0000,1.9476,0.0000,0
179.7376,181.7376,DescascarSemente,46,1.0850,3.8320,4.5455,3.9239,0.0000,0.0000,1.9706,0.9348,0
181.7376,183.7376,DescascarSemente,46,0.8832,3.6302,4.5692,1.8587,0.0000,0.0000,1.9483,1.0000,0
183.7376,185.7376,DescascarSemente,46,0.9679,3.7149,4.5211,2.0000,0.0000,0.0000,1.9493,1.0000,0
185.7376,187.7376,DescascarSemente,47,1.0526,3.8014,4.4216,2.3830,0.0905,0.0000,1.8930,1.0000,0
187.7376,189.7376,DescascarSemente,48,0.8129,3.5617,4.4216,3.5312,0.0466,0.0000,1.9250,1.0000,0
189.7376,191.7376,DescascarSemente,47,0.9396,3.6871,2.6318,4.5000,0.0000,0.0000,1.9363,0.2128,0
191.7376,193.7376,DescascarSemente,46,0.9262,3.6774,2.1480,3.6304,0.2105,0.0000,1.7496,0.0000,0
193.7376,195.7376,DescascarSemente,47,0.8566,3.6043,2.2642,3.6702,0.0461,0.0000,1.9257,0.0000,0
195.7376,197.7376,DescascarSemente,47,0.8090,3.5561,2.6941,4.8723,0.0000,0.0000,1.9470,0.0000,0
197.7376,199.7376,DescascarSemente,48,0.9852,3.7330,2.6941,5.0000,0.0000,0.0549,1.8963,0.0000,0
199.7376,201.7376,DescascarSemente,47,0.7721,3.5211,2.6941,4.9574,0.1657,0.0000,1.7813,0.0000,0
201.7376,203.7376,DescascarSemente,47,0.6972,3.4716,2.6941,5.0000,1.2040,0.0000,0.7677,0.0000,0
203.7376,205.7376,DescascarSemente,38,0.3675,3.1499,2.6941,4.2368,1.5696,0.0000,0.3871,0.0000,0
205.7376,207.7376,DescascarSemente,30,0.5947,3.3435,2.6941,3.0000,0.0000,0.0000,1.9292,0.0000,0
207.7376,209.7376,DescascarSemente,10,0.6240,3.3698,,2.5500,0.0000,0.0000,0.6032,0.0000,0
