window_start_s,window_end_s,dominant_activity,n_samples,mean_residual_pupil_mm,mean_raw_pupil_mm,mean_gaze_entropy_bits,mean_target_switch_rate_hz,task_dwell_s,tutorial_dwell_s,support_dwell_s,confusion_frac,n_rescue_saccades
111.7852,113.7852,SecarSemente,44,0.0272,2.4618,3.6244,9.7727,0.1769,0.0000,1.7688,0.0000,0
113.7852,115.7852,SecarSemente,45,0.4829,2.9308,3.6028,9.5889,0.8877,0.0000,1.0764,0.0000,0
115.7852,117.7852,SecarSemente,44,0.5959,3.0621,3.1395,6.8182,1.7575,0.0000,0.1795,0.0000,0
117.7852,119.7852,SecarSemente,42,0.2173,2.6484,3.1395,5.0000,0.0000,0.0000,1.9594,0.0000,0
119.7852,121.7852,SecarSemente,43,0.3025,2.7320,3.4284,3.8372,0.0000,0.0000,1.9498,0.0000,0
121.7852,123.7852,SecarSemente,40,0.3058,2.7354,4.2690,1.4625,0.0000,0.0000,1.9293,0.0000,0
123.7852,125.7852,SecarSemente,43,0.5758,3.0054,4.2690,0.0000,0.0000,0.0000,1.9818,0.0000,0
125.7852,127.7852,SecarSemente,42,0.4711,2.9007,4.3846,0.0000,0.0000,0.0000,1.9467,0.0000,0
127.7852,129.7852,SecarSemente,41,0.4358,2.8654,4.5725,0.0000,0.0000,0.0000,1.9156,0.0000,0
129.7852,131.7852,SecarSemente,43,0.2466,2.6762,4.5725,0.0000,0.0000,0.0000,1.9910,0.0000,0
131.7852,133.7852,SecarSemente,41,0.1689,2.5984,3.4156,0.5610,0.0000,0.0000,1.9384,0.0000,0
133.7852,135.7852,SecarSemente,43,-0.0104,2.4191,2.3137,2.3953,0.0000,0.0000,1.9704,0.0000,0
135.7852,137.7852,SecarSemente,42,-0.1062,2.3229,2.3137,3.1786,0.0000,0.0000,1.9256,0.0000,0
137.7852,139.7852,SecarSemente,43,0.0840,2.5309,2.9769,3.5116,1.0046,0.0000,0.9676,0.0000,0
139.7852,141.7852,SecarSemente,43,-0.0806,2.3519,3.2971,4.7093,0.0000,0.0000,1.9707,0.0000,0
141.7852,143.7852,SecarSemente,42,0.4236,2.8534,3.2971,6.0000,0.0458,0.0000,1.9128,0.0000,0
143.7852,145.7852,SecarSemente,43,0.2013,2.6409,3.2585,4.6395,0.4443,0.0000,1.5037,0.0000,0
145.7852,147.7852,SecarSemente,43,0.2566,2.6984,3.2522,3.5349,0.5482,0.0000,1.3789,0.0000,0
