SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,TargetCategory,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime,AvgPupil_raw,EffectiveLuminance,PredictedPupil,ResidualPupil,VOICategory,GazeEntropy,TargetSwitchRate,FixationId,KCoefficient,RescueSaccade,ConfusionScore,Confusion
176.1551,Default,Moer,Paper_0,-462,Default,tutorial,1.634098,1.529001,-3.134345,0.8517345,-0.4247606,-0.3068009,3.548804,2.585385,2.225904,-6.677605,-0.1480554,-0.2562224,0.9552118,0.9999999,0.9999999,False,1.75508,2.867212,2.311146,True,True,True,True,True,True,0.0,2.311146,0.425,2.8638737,-0.5527277,tutorial,2.0265956,3.0,221,-1.3506191,True,0.6,True
181.3337,Default,Moer,Paper_0,-462,Default,tutorial,0.7340983,1.52904,-3.134433,-1.192093e-07,-0.767435,-0.6411267,4.938269,2.339917,2.259302,-7.990071,-0.3251784,-0.225581,0.918353,0.9999999,0.9999999,False,3.902879,3.138958,3.520919,True,True,True,True,True,False,0.04542542,3.520919,0.425,2.8638725,0.65704656,tutorial,3.1609428,4.0,234,-0.3730243,True,0.47460487,False
188.6942,Default,Moer,Writebook_6,-518,Default,tutorial,-1.756288,1.090093,-2.393482,0.02248658,-0.5146258,-0.8571202,5.614606,-3.115873,2.278071,-8.0714,0.2441539,-0.2574163,0.934947,0.9681929,0.982919,False,2.636636,2.170008,2.403322,True,True,True,True,True,False,0.04443359,2.403322,0.425,2.8622715,-0.45894957,tutorial,2.1318154,4.5,245,-0.19010997,True,0.438022,False
