start_s,end_s,duration_s,dispersion_deg,target,category,activity,saccade_amplitude_deg,mean_dir_x,mean_dir_y,mean_dir_z,k_coefficient
10.515700340270996,10.63379955291748,0.11809921264648438,1.291006659284169,Checker,task,CortarCacau,9.047931131507799,0.11205502881284729,-0.3455627823417429,0.931496405727926,-0.43512877872626726
10.823450088500977,11.068140029907227,0.24468994140625,1.0949407493398804,Checker,task,CortarCacau,2.492807654356158,0.11728926081167153,-0.19373955622916772,0.9739476497124695,0.718646328484831
11.134289741516113,11.261139869689941,0.12685012817382812,0.3399234470292188,Checker,task,CortarCacau,17.15273704715522,0.11514866332814493,-0.23622453155660125,0.9648414032929339,-0.7663138190314904
11.380209922790527,11.627449989318848,0.2472400665283203,0.45685349372215334,Checker,task,CortarCacau,7.627160548362087,-0.16514633540945528,-0.13502499713075872,0.976964232747323,0.4890020513198808
11.880900382995605,12.449440002441406,0.5685396194458008,0.8573607747631453,Checker,task,CortarCacau,11.695735474145366,-0.03388165682518122,-0.11980065146863775,0.9921647773500499,2.4231113286655015
12.51552963256836,12.707119941711426,0.1915903091430664,1.3018722228889001,Checker,task,CortarCacau,9.043656501120685,-0.2245372998412815,-0.18254781783981228,0.9570902052603578,0.052153547611649476
12.838330268859863,13.039130210876465,0.20079994201660156,0.0,Wall,support,CortarCacau,14.292148881837582,-0.2877450643734368,-0.03810370768647152,0.9569487370749128,-0.13883434629256813
13.185370445251465,13.31702995300293,0.13165950775146484,1.4936268425482782,Wall,support,CortarCacau,1.5660305191159583,-0.5123252943755304,-0.07223734968019016,0.8555213564058702,0.014017110435823432
13.38640022277832,13.518030166625977,0.13162994384765625,0.36084877692223827,Wall,support,CortarCacau,87.02846704897121,-0.5355621510841776,-0.07395890016926242,0.8412392235431948,-4.089987154278656
14.467700004577637,14.621129989624023,0.15342998504638672,1.495471392404958,Wood,task,CortarCacau,6.061035240976401,0.7025288058325703,-0.5416512649159504,0.461246826529905,-0.057539639408371535
14.735340118408203,14.848369598388672,0.11302947998046875,1.338810935228995,Wood,task,CortarCacau,6.046972260468566,0.6452431598209084,-0.5305740174763992,0.5494069399991347,-0.3246268463605011
14.90155029296875,15.177390098571777,0.27583980560302734,1.3927921571084632,Wood,task,CortarCacau,4.6877526611086155,0.6207281534300605,-0.4668063458719099,0.6297704067049354,0.8196995902511146
15.291609764099121,15.625679969787598,0.33407020568847656,0.8071152135542466,Wall,support,CortarCacau,5.644518073797035,0.6807530981915301,-0.452287818096444,0.5761453780668625,1.1596905311842025
15.735150337219238,16.101530075073242,0.3663797378540039,0.5433089444082416,Wall,support,CortarCacau,2.9641442784894774,0.7327955485154324,-0.4678728599574275,0.49401417194171965,1.5025369515747617
16.50581932067871,16.64826011657715,0.1424407958984375,1.301379841849139,Wall,support,CortarCacau,9.038192360991985,0.710777683987356,-0.4525254933675419,0.5382295424540113,-0.273332381984059
16.748510360717773,16.89341926574707,0.14490890502929688,0.651086350415694,Wall,support,CortarCacau,6.172606698922964,0.8047147681207047,-0.33578091812091826,0.4895061767934193,-0.1193723493563697
16.992549896240234,17.149450302124023,0.15690040588378906,1.0202487194893473,Wall,support,CortarCacau,33.73281626126288,0.8486269294978732,-0.2390804220592478,0.4717656090563207,-1.363305958137995
17.45574951171875,17.60736083984375,0.151611328125,1.085737131133193,Checker,task,CortarCacau,6.657333987715145,0.6836708260790105,-0.7087066240181644,0.1735775489672559,-0.09822673782682956
17.65336036682129,17.760290145874023,0.10692977905273438,1.4787337538354184,Wood,task,CortarCacau,15.459089655364187,0.7560612751095378,-0.6223742324188705,0.20165013785382946,-0.8170129422463898
17.9619197845459,18.26580047607422,0.3038806915283203,0.943164924886269,Wall,support,CortarCacau,30.594860746053183,0.8966981323279849,-0.4376421261723162,0.06586350855527193,-0.23848344249968134
18.385719299316406,18.551240921020508,0.16552162170410156,0.9521761208703429,Wall,support,CortarCacau,21.62239563026663,0.7431203001186895,-0.3591173945477005,0.5645055914011977,-0.7246385826781669
18.809890747070312,18.94438934326172,0.13449859619140625,1.1725510329038409,Wall,support,CortarCacau,3.653137186846966,0.9350606833901078,-0.14608887989905717,0.3226623692896856,-0.06738673021877717
18.975679397583008,19.186859130859375,0.2111797332763672,1.4130348645882027,Wall,support,CortarCacau,37.57376188838395,0.9539865909301177,-0.14507891268337328,0.2618052623770875,-1.1879965790278004
19.743589401245117,19.876760482788086,0.13317108154296875,1.3326385068263598,Checker,task,CortarCacau,1.6193464144558607,0.6281193888734204,-0.6929001299156251,0.3537366956476274,0.021475202355683676
19.910259246826172,20.090179443359375,0.17992019653320312,1.2432402971622345,Checker,task,CortarCacau,2.1108042557304287,0.6120045247789726,-0.7129594080254352,0.3420519953524228,0.3077151474841887
20.133859634399414,20.468660354614258,0.33480072021484375,0.9630560861278711,Checker,task,CortarCacau,25.7491951461357,0.6209827033291084,-0.7210402904502249,0.3072523823526013,0.1991285959510567
20.633859634399414,20.8352108001709,0.20135116577148438,1.2463694385403077,Wall,support,CortarCacau,23.77672341691472,0.8662749922085974,-0.3519995004152255,0.35418552051096713,-0.5906194063950171
