SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,TargetCategory,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime,AvgPupil_raw,EffectiveLuminance,PredictedPupil,ResidualPupil,VOICategory,GazeEntropy,TargetSwitchRate,FixationId,KCoefficient,RescueSaccade,ConfusionScore,Confusion
197.0921,Default,TorrarAmendoa,Peeler,-550,Default,machine,0.0,0.0,0.0,-0.4563029,0.234623,-0.8583354,0.0,-4.277929,2.272198,-8.16281,0.4563029,-0.234623,0.8583354,0.9999999,0.9999999,False,3.039422,2.332872,2.686147,True,True,True,True,True,False,5.335266,2.686147,0.425,2.8638737,-0.17772675,machine,0.72454274,2.0,261,0.35653105,True,0.21818183,False
198.8185,Default,TorrarAmendoa,Peeler,-550,Default,machine,0.0,0.0,0.0,-0.433675,0.248847,-0.8660262,0.0,-4.284995,2.278423,-8.177707,0.4336749,-0.248847,0.8660261,0.9999999,0.9999999,False,3.192399,2.421592,2.806995,True,True,True,True,True,False,0.8248444,2.806995,0.425,2.8638737,-0.056878805,machine,0.6818805,2.0,264,0.45313728,True,0.21818183,False
203.7306,Default,TorrarAmendoa,Peeler,-550,Default,machine,0.0,0.0,0.0,-0.420199,0.2787927,-0.8635436,0.0,-3.308174,2.2232,-8.131237,0.420199,-0.2787927,0.8635436,0.9999999,0.9999999,False,2.995475,2.169975,2.582725,True,True,True,True,True,False,4.319199,2.582725,0.425,2.8638737,-0.28114867,machine,1.3023726,1.5,274,4.009031,True,0.12727273,False
