activity,duration_s,n_samples,mean_residual_pupil_mm,mean_gaze_entropy_bits,task_dwell_s,item_dwell_s,machine_dwell_s,tutorial_dwell_s,support_dwell_s,tutorial_dwell_pct,tutorial_before_task_s,tutorial_after_task_s,n_consult_before,n_consult_after,n_rescue_saccades,confusion_time_s,confusion_pct,n_confusion_episodes
CortarCacau,43.7245,880,0.0578,4.2751,0.0000,0.0000,1.4834,3.2817,38.9595,7.5054,0.0000,1.2112,0,3,4,25.7359,58.8592,2
SecarSemente,51.8147,1125,-0.1622,4.2683,0.0000,0.0000,1.1920,0.0000,50.6227,0.0000,0.0000,0.0000,0,0,0,41.8763,80.8193,2
DescascarSemente,38.6117,932,-0.0062,4.2284,0.0000,0.0000,0.0000,0.0000,38.6117,0.0000,0.0000,0.0000,0,0,0,23.6846,61.3405,1
TorrarAmendoa,16.2188,365,0.4091,4.2984,0.0000,0.0000,0.0429,1.4944,14.6815,9.2140,0.0000,0.9452,0,1,1,11.2725,69.5026,1
Moer,44.9975,1048,0.1047,3.9808,0.0000,0.0000,0.0000,0.2666,44.7309,0.5924,0.0000,0.0000,0,0,1,25.5810,56.8498,2
Misturar,12.2758,322,0.5802,3.0492,0.0000,0.0000,0.0000,0.0000,12.2758,0.0000,0.0000,0.0000,0,0,0,2.0616,16.7939,0
Formar,162.4935,3694,0.4340,3.9649,0.0000,0.0000,3.0588,0.0456,159.3891,0.0281,0.0000,0.0000,0,0,0,82.1018,50.5262,4
