target,category,dwell_s,n_visits,dwell_pct
Checker,support,195.2885,91,52.7235
Wall,support,141.8793,121,38.3042
Wood,support,22.3682,116,6.0389
Mixer,machine,4.4706,6,1.2070
Writebook_5,tutorial,1.8777,3,0.5069
Writebook_6,tutorial,1.8066,5,0.4877
Peeler,machine,1.3064,2,0.3527
Writebook_4,tutorial,0.7856,3,0.2121
Paper_0,tutorial,0.6184,2,0.1670
