start_s,end_s,duration_s,dispersion_deg,target,category,activity,saccade_amplitude_deg,mean_dir_x,mean_dir_y,mean_dir_z,k_coefficient
6.6011857986450195,7.001098155975342,0.39991235733032227,1.1729353692219204,Wall,support,CortarCacau,24.410915621885792,0.3964530097448749,-0.15896626912644699,0.9041073897643005,0.20046797347134926
7.1249589920043945,7.391823768615723,0.2668647766113281,1.382787512029526,Checker,task,CortarCacau,1.3198783679084471,-0.017820013692170185,-0.19489408863650604,0.9805022190399006,0.6238482742683571
7.44773006439209,7.580522060394287,0.13279199600219727,0.8488664438863294,Checker,task,CortarCacau,8.302527084522357,-0.018759146614326448,-0.17228409784948426,0.9847959867352499,-0.4874245908016998
7.781135082244873,7.973165035247803,0.1920299530029297,1.384487644530029,Wall,support,CortarCacau,1.0087595521022426,0.0722847653387482,-0.06023596375782243,0.9954613679787165,0.217528160973755
8.0378999710083,8.17290210723877,0.13500213623046875,0.44810070490918374,Wall,support,CortarCacau,12.414447635673131,0.0587918120820167,-0.07154212905100156,0.9956848500874921,-0.6839970227705803
8.36235523223877,8.49683952331543,0.13448429107666016,1.1387362311243032,Wall,support,CortarCacau,12.839793330442639,-0.14431459887827972,0.0023839355979211776,0.9893965267600375,-0.7085416403207487
8.89836311340332,9.085277557373047,0.18691444396972656,0.898749371619466,Checker,task,CortarCacau,4.234942648069334,-0.10388180076286406,-0.21673328114346285,0.9706208464212329,0.024661042039874126
9.151496887207031,9.284332275390625,0.13283538818359375,1.3501115190082873,Checker,task,CortarCacau,4.888710647177942,-0.1621333309883564,-0.1712875946806851,0.9716341349567669,-0.3136300291059096
9.3521146774292,9.60789966583252,0.2557849884033203,0.26431987012617775,Wall,support,CortarCacau,73.66333940509544,-0.21140971712840284,-0.10167205744105486,0.9720922814926988,-3.1164103490820616
10.365010261535645,10.612480163574219,0.24746990203857422,1.2863038109681606,Checker,task,CortarCacau,2.570511956335336,0.8022807930546494,-0.4244653618050389,0.41939891381386607,0.450864458579491
10.665010452270508,10.844880104064941,0.1798696517944336,1.4186160539444064,Checker,task,CortarCacau,2.572108789882965,0.7773393185667585,-0.433557960624283,0.4555535120118033,0.06945625997048716
10.900639533996582,11.188639640808105,0.28800010681152344,0.46203131424856225,Checker,task,CortarCacau,8.469285488209069,0.7545569751165083,-0.4722313268364102,0.4556476511758427,0.3796130295132628
11.3131103515625,11.51099967956543,0.1978893280029297,0.9315139012591306,Wall,support,CortarCacau,13.60494633351241,0.8052692630823225,-0.33725297428813883,0.4875516748165599,-0.38977788989024675
12.013349533081055,12.117449760437012,0.10410022735595703,1.2738144853506166,Checker,task,CortarCacau,2.361890462919179,0.6953501645727683,-0.5460657228799342,0.4669604263743616,-0.34726537932537505
12.17825984954834,12.417619705200195,0.23935985565185547,1.1972521802255436,Checker,task,CortarCacau,2.5902713192538367,0.6985871190978902,-0.5162608347796023,0.4952429150392496,0.4041118897587935
