start_s,end_s,duration_s,activity,mean_gaze_entropy_bits,mean_transition_entropy_bits,mean_k_coefficient,mean_confusion_score,n_targets_scanned,targets
6.464701175689697,31.842079162597656,25.37737798690796,CortarCacau,4.659501075744629,0.9837178389999602,0.3413967788219452,0.6621375679969788,3,Checker|Wall|Wood
41.86552047729492,48.545501708984375,6.679981231689453,SecarSemente,4.436304092407227,0.9837178389999602,0.6241555213928223,0.6211727857589722,3,Wall|Wood|Checker
53.50178146362305,76.01371765136719,22.51193618774414,DescascarSemente,4.355402946472168,0.9837178389999602,0.42703700065612793,0.5963134169578552,3,Checker|Wall|Wood
79.85781860351562,82.29371643066406,2.4358978271484375,DescascarSemente,4.030880451202393,0.9837178389999602,0.3009306788444519,0.5464622378349304,1,Checker
86.67337799072266,90.78083038330078,4.107452392578125,DescascarSemente,4.3598222732543945,0.9837178389999602,0.6632656455039978,0.582552433013916,3,Checker|Wall|Wood
91.49363708496094,97.63108825683594,6.137451171875,Moer,4.492191791534424,0.9837178389999602,0.018416019156575203,0.633231520652771,3,Checker|Wall|Wood
102.27420043945312,111.4854965209961,9.211296081542969,Moer,4.352282524108887,0.9837178389999602,0.5754250288009644,0.5977815985679626,3,Wall|Checker|Wood
117.92400360107422,131.1781005859375,13.254096984863281,TorrarAmendoa,4.584741115570068,0.9837178389999602,-0.42755547165870667,0.6536372303962708,3,Wall|Checker|Wood
145.99110412597656,178.0124053955078,32.02130126953125,Formar,4.65084981918335,0.9837178389999602,0.07276192307472229,0.6652507781982422,3,Wall|Wood|Checker
182.91329956054688,226.71800231933594,43.80470275878906,Formar,4.700500965118408,0.9837178389999602,0.5887705087661743,0.6646292805671692,3,Wall|Checker|Wood
