activity,duration_s,n_samples,mean_residual_pupil_mm,mean_gaze_entropy_bits,task_dwell_s,item_dwell_s,machine_dwell_s,tutorial_dwell_s,support_dwell_s,tutorial_dwell_pct,tutorial_before_task_s,tutorial_after_task_s,n_consult_before,n_consult_after,n_rescue_saccades,confusion_time_s,confusion_pct,n_confusion_episodes
CortarCacau,31.3907,638,-0.0681,4.5334,18.6763,0.0000,0.0000,0.0000,12.7144,0.0000,0.0000,0.0000,0,0,0,25.1879,80.2398,1
SecarSemente,25.4040,537,-0.1061,4.1905,17.8504,0.0000,0.0000,0.0000,7.5536,0.0000,0.0000,0.0000,0,0,0,17.4720,68.7765,1
DescascarSemente,29.5812,653,-0.0590,4.2688,27.6671,0.0000,0.0000,0.0000,1.9141,0.0000,0.0000,0.0000,0,0,0,21.1041,71.3428,3
TorrarAmendoa,17.9431,402,-0.1795,4.2744,4.0325,0.0000,0.0000,0.0000,13.9106,0.0000,0.0000,0.0000,0,0,0,12.6639,70.5781,1
Moer,19.5755,450,0.2785,4.2905,4.4070,0.0000,0.0000,0.0000,15.1684,0.0000,0.0000,0.0000,0,0,0,14.3513,73.3125,2
Misturar,9.6796,235,0.0533,3.5745,1.7018,0.0000,0.0000,0.0000,7.9778,0.0000,0.0000,0.0000,0,0,0,0.4369,4.5137,0
Formar,96.7141,2135,0.1164,4.5718,52.0864,0.0000,0.0000,0.0000,44.6277,0.0000,0.0000,0.0000,0,0,0,75.6893,78.2609,2
