SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,TargetCategory,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime,AvgPupil_raw,EffectiveLuminance,PredictedPupil,ResidualPupil,VOICategory,GazeEntropy,TargetSwitchRate,FixationId,KCoefficient,RescueSaccade,ConfusionScore,Confusion
216.0853,Default,Misturar,Wall,17670,Barrier,support,-4.338245,2.088543,-2.692116,-1.0,0.0,0.0,0.9281132,-5.063335,2.285711,-3.236875,0.7812522,-0.2124405,0.5869532,0.9999999,0.9999999,False,3.464934,2.956764,3.210849,True,True,True,True,True,False,0.1002655,3.210849,0.635,2.856327,0.354522,support,3.4694636,10.0,293,-0.09275361,True,0.41855073,False
217.5087,Default,Misturar,Writebook_5,-510,Default,tutorial,-1.784547,1.199507,0.8522267,-0.1650529,-0.1650529,-0.972376,5.018931,-5.204469,2.291719,-3.193658,0.6649615,-0.2340614,0.7092542,0.9991681,0.9986655,False,3.592798,3.84087,3.716834,True,True,True,True,True,False,0.05371094,3.716834,0.425,2.8620353,0.8547988,tutorial,3.4694636,9.5,298,0.1296086,True,0.4,False
218.5794,Default,Misturar,Writebook_5,-510,Default,tutorial,-2.091976,1.506936,1.034421,-0.7071068,-0.7071069,0.0,3.182728,-5.079799,2.254796,-0.3717337,0.8276767,-0.3460594,0.4418079,0.9999999,0.9999999,False,3.921414,2.563376,3.242395,True,True,True,True,True,True,0.0,3.242395,0.425,2.8651726,0.3772223,tutorial,1.1965384,9.5,301,0.14705466,True,0.4,False
232.872,Default,Misturar,Writebook_5,-510,Default,tutorial,-1.768576,1.183536,1.41763,-0.7071068,-0.7071069,0.0,4.038161,-5.834906,2.278192,2.069337,0.9194227,-0.3586309,-0.1613871,0.9999999,0.9999999,False,3.358926,2.622024,2.990475,True,True,True,True,True,False,0.04830933,2.990475,0.425,2.8619223,0.12855268,tutorial,2.5613909,7.5,330,-0.7255551,True,0.54511106,True
