SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,TargetCategory,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime
37.3087,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,0.9440283,1.480343,1,0,0,1.933249,2.426746,1.407192,0.2212485,-0.7200218,-0.2395778,0.6512842,0.9999999,0.9999999,0,3.023749,2.370975,2.697362,1,1,1,1,1,0,1.05658
37.37654,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,1.106112,1.412722,1,0,0,1.856036,2.426532,1.407683,0.2223829,-0.74986,-0.1624818,0.6413342,0.9999999,0.9999999,0,5.689824,2.792113,4.240969,1,1,1,1,1,0,1.124416
37.44602,Default,CortarCacau,Writebook_4,-502,Default,tutorial,-1.455862,1.136462,3.31646,0.8314055,-0.5216053,-0.1915537,4.613382,2.426462,1.407815,0.2235763,-0.7514271,-0.1153504,0.6496549,0.5176901,0.5682132,0,3.785706,2.474196,3.129951,1,1,1,1,1,1,0
37.50959,Default,CortarCacau,Writebook_4,-502,Default,tutorial,-1.457436,1.134427,3.31517,0.8306295,-0.5252394,-0.1848734,4.616326,2.426698,1.407398,0.2242491,-0.7514241,-0.116021,0.649539,0.6871098,0.7789252,0,3.785706,2.474196,3.129951,1,1,1,1,1,0,0.0635643
37.57682,Default,CortarCacau,Writebook_4,-502,Default,tutorial,-1.487153,1.096004,3.290813,0.8360994,-0.4338282,-0.335754,4.571842,2.426973,1.406773,0.2245331,-0.7646976,-0.1154204,0.6339682,0.9343821,0.9536372,0,3.785706,2.474196,3.129951,1,1,1,1,1,0,0.1308022
37.64643,Default,CortarCacau,Writebook_4,-502,Default,tutorial,-1.501622,1.077296,3.278954,0.8324639,-0.402413,-0.3808776,4.562625,2.427061,1.40672,0.225184,-0.7698312,-0.1162995,0.6275622,0.9889911,0.9922216,0,3.785706,2.474196,3.129951,1,1,1,1,1,0,0.2004128
37.71049,Default,CortarCacau,Writebook_4,-502,Default,tutorial,-1.503853,1.074412,3.277126,0.8291778,-0.3835322,-0.4066538,4.555081,2.427274,1.407283,0.2264357,-0.7720034,-0.1151762,0.6250961,0.998153,0.998695,0,3.785706,2.474196,3.129951,1,1,1,1,1,0,0.2644691
37.7802,Default,CortarCacau,Writebook_4,-502,Default,tutorial,-1.499196,1.080431,3.280942,0.829236,-0.3838323,-0.4062516,4.552671,2.427526,1.40748,0.2277969,-0.7714383,-0.1139913,0.6260103,0.9996902,0.9997811,0,3.785706,2.474196,3.129951,1,1,1,1,1,0,0.3341789
37.84515,Default,CortarCacau,Writebook_4,-502,Default,tutorial,-1.512414,1.0633,3.270317,0.8195036,-0.5616487,-0.113861,4.665022,2.427781,1.407039,0.2287054,-0.7567903,-0.1338823,0.6397999,0.999948,0.9999633,0,3.785706,2.474196,3.129951,1,1,1,1,1,0,0.399128
37.91214,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,1.075627,1.475221,1,0,0,1.89805,2.427922,1.406453,0.2293231,-0.733994,-0.1742976,0.6564093,0.9999891,0.9999923,0,3.785706,2.474196,3.129951,1,1,1,1,1,1,0
37.97747,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,1.022015,1.505443,1,0,0,1.92766,2.427972,1.406585,0.2299243,-0.722746,-0.199501,0.6616929,0.9999977,0.9999984,0,3.785706,2.474196,3.129951,1,1,1,1,1,0,0.06532669
38.04589,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,0.9761344,1.512588,1,0,0,1.941524,2.427814,1.40726,0.2307702,-0.7175033,-0.2220555,0.6602124,0.9999995,0.9999996,0,2.986063,2.343225,2.664644,1,1,1,1,1,0,0.1337509
38.1115,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,1.099822,1.267706,1,0,0,1.763214,2.427913,1.407497,0.2316573,-0.7901189,-0.1744962,0.5875911,0.9999999,0.9999999,0,3.081774,2.3242,2.702987,1,1,1,1,1,0,0.1993599
38.18136,Default,CortarCacau,Writebook_4,-502,Default,tutorial,-1.535671,1.033272,3.251047,0.4411935,-0.6793889,-0.586327,4.68498,2.42837,1.407061,0.2327024,-0.7990308,-0.1522918,0.5816846,0.9999999,0.9999999,0,3.070517,2.288884,2.679701,1,1,1,1,1,1,0
38.2476,Default,CortarCacau,Writebook_4,-502,Default,tutorial,-1.535671,1.033272,3.251047,0.4660348,-0.7228949,-0.5101323,4.700133,2.429065,1.406594,0.2345239,-0.7939602,-0.1563296,0.5875274,0.9999999,0.9999999,0,3.079294,2.308775,2.694035,1,1,1,1,1,0,0.0662384
38.31133,Default,CortarCacau,Writebook_4,-502,Default,tutorial,-1.535671,1.033271,3.251047,0.6832989,-0.1624367,-0.7118406,4.516921,2.430397,1.406607,0.2381479,-0.8024093,-0.1006335,0.588228,0.7999999,0.9999999,0,3.785706,2.474196,3.129951,1,1,1,1,1,0,0.1299706
38.38105,Default,CortarCacau,Writebook_4,-502,Default,tutorial,-1.535882,1.033069,3.250954,0.5622278,-0.2159191,-0.7982975,4.541815,2.432602,1.406437,0.2441807,-0.8118715,-0.1059769,0.5741372,0.5470932,0.5277721,0,3.785706,2.474196,3.129951,1,1,1,1,1,0,0.199688
