SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,TargetCategory,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime,AvgPupil_raw,EffectiveLuminance,PredictedPupil,ResidualPupil,VOICategory,GazeEntropy,TargetSwitchRate,FixationId,KCoefficient,RescueSaccade,ConfusionScore,Confusion
139.7007,Default,DescascarSemente,Paper_0,-462,Default,tutorial,1.634086,1.52904,-3.134433,0.3092695,-0.5340593,-0.7868501,4.038414,4.535738,2.279651,-6.307622,-0.6802219,-0.2519902,0.6883307,0.9999999,0.9999999,False,2.315176,4.009119,3.162147,True,True,True,True,True,True,0.0,3.162147,0.425,2.8638737,0.29827332,tutorial,1.1412816,5.0,155,-0.4496915,True,0.48993832,False
152.6868,Default,DescascarSemente,Toaster,-542,Default,machine,0.0,0.0,0.0,0.2239719,0.2398223,-0.9446279,0.0,1.960323,2.20577,-8.061584,-0.2239719,-0.2398223,0.9446279,0.9999999,0.9999999,False,3.136196,2.257745,2.69697,True,True,True,True,True,False,4.011032,2.69697,0.425,2.8638735,-0.1669035,machine,2.6490226,2.5,175,3.245192,True,0.3090909,False
157.0871,Default,DescascarSemente,Paper_0,-462,Default,tutorial,0.7831296,1.52904,-3.134433,0.0,-0.5155436,-0.8568633,4.764303,1.928882,2.22741,-8.087423,-0.240487,-0.2006886,0.949679,0.9999999,0.9715789,False,4.171689,2.475355,3.323522,True,True,True,True,True,False,0.09129333,3.323522,0.425,2.8638737,0.45964837,tutorial,2.862608,4.0,179,-0.33386645,True,0.4667733,False
158.5026,Default,DescascarSemente,Collider_0,17722,Obstacle,support,1.438897,1.199492,-3.92,0.0,0.0,-1.0,4.483222,3.558743,2.226331,-7.734594,-0.4728398,-0.2290405,0.8508601,0.9999999,0.9999998,False,3.229882,2.703078,2.96648,True,True,True,True,True,False,0.5671997,2.96648,0.425,2.8638737,0.1026063,support,2.862608,3.0,183,0.041457746,True,0.4,False
167.4786,Default,DescascarSemente,Paper_0,-462,Default,tutorial,1.593516,1.52904,-3.134434,0.0,-0.6446598,-0.7644695,4.942555,1.842949,2.212215,-8.349431,-0.05046642,-0.2034382,0.9777864,0.9999999,0.6399999,False,4.452435,3.027535,3.739985,True,True,True,True,True,True,0.0,3.739985,0.425,2.8638737,0.87611127,tutorial,1.225857,4.5,201,-0.5418155,True,0.5083631,True
