window_start_s,window_end_s,dominant_activity,n_samples,mean_residual_pupil_mm,mean_raw_pupil_mm,mean_gaze_entropy_bits,mean_target_switch_rate_hz,task_dwell_s,tutorial_dwell_s,support_dwell_s,confusion_frac,n_rescue_saccades
122.2521,124.2521,SecarSemente,43,0.2850,3.1489,1.6793,3.5698,0.0000,1.3374,0.0000,0.0000,1
124.2521,126.2521,SecarSemente,45,-0.3292,2.5347,1.2413,3.7556,0.0000,0.6831,0.0000,0.0000,0
126.2521,128.2521,SecarSemente,46,0.2705,3.1344,1.2413,4.2065,0.0000,0.0000,0.0000,0.0000,0
128.2521,130.2521,SecarSemente,42,0.0187,2.8826,1.1807,5.3452,0.0000,1.3168,0.0000,0.0000,1
130.2521,132.2521,SecarSemente,44,0.0097,2.8736,1.1593,5.0341,0.0000,0.4234,0.0000,0.0000,0
132.2521,134.2521,SecarSemente,40,-0.3920,2.4719,1.1593,6.0000,0.0000,1.3736,0.2113,0.0000,1
134.2521,136.2521,SecarSemente,37,-0.1518,2.7121,1.1437,6.2703,0.0000,1.7233,0.2262,0.0000,1
136.2521,138.2521,SecarSemente,38,-0.1667,2.6972,1.1413,5.6184,0.0000,1.9713,0.0000,0.0000,0
138.2521,140.2521,SecarSemente,37,-0.1217,2.7422,1.1413,5.1081,0.0000,1.4476,0.2778,0.0000,1
140.2521,142.2521,DescascarSemente,46,-0.0904,2.7734,1.3412,4.3587,0.0000,0.0000,0.0000,0.0000,0
142.2521,144.2521,DescascarSemente,43,0.4065,3.2704,1.4200,5.7093,0.0000,0.0442,0.0000,0.0000,0
144.2521,146.2521,DescascarSemente,47,0.5134,3.3774,1.4727,4.7234,0.0000,0.0000,0.0774,0.0000,0
146.2521,148.2521,DescascarSemente,45,-0.0467,2.8191,2.2454,3.5222,0.0000,0.0000,1.9603,0.1111,0
148.2521,150.2521,DescascarSemente,49,-0.3619,2.5019,2.2454,3.9490,0.0000,0.0000,0.3421,0.0000,0
150.2521,152.2521,DescascarSemente,52,-0.5973,2.2665,2.4705,3.6442,0.0000,0.0000,0.0000,0.0000,0
152.2521,154.2521,DescascarSemente,45,0.0791,2.9430,2.6490,3.2444,0.0000,1.1030,0.2235,0.0000,1
154.2521,156.2521,DescascarSemente,49,0.4108,3.2747,2.6621,3.5204,0.0000,0.7688,0.0000,0.0000,0
156.2521,158.2521,DescascarSemente,45,0.0781,2.9420,2.8626,3.9778,0.0000,0.8692,0.3805,0.0000,1
158.2521,160.2521,DescascarSemente,45,-0.1870,2.6769,2.8626,3.4111,0.0000,1.6789,0.2786,0.0000,1
160.2521,162.2521,DescascarSemente,46,-0.3824,2.4814,2.4067,3.0000,0.0000,1.1246,0.8354,0.0000,0
162.2521,164.2521,DescascarSemente,45,-0.2934,2.5704,1.7587,3.6889,0.0000,0.0000,1.6938,0.2444,0
164.2521,166.2521,DescascarSemente,56,-0.0922,2.7717,1.7587,4.2589,0.0000,0.0000,0.0000,0.0000,0
166.2521,168.2521,DescascarSemente,48,-0.1853,2.6786,1.2259,4.5104,0.0000,0.5795,0.0000,0.0833,1
168.2521,170.2521,DescascarSemente,46,-0.0855,2.7784,1.2259,4.1522,0.0000,0.0783,0.0000,0.0000,0
170.2521,172.2521,Moer,50,0.2515,3.1154,1.6102,4.9000,0.0000,0.0354,0.0000,0.0000,0
172.2521,174.2521,Moer,44,1.0529,3.9168,2.0266,3.7727,0.0000,0.0000,0.0000,0.0000,0
174.2521,176.2521,Moer,41,0.0795,2.9434,2.0266,2.9756,0.0000,0.0994,0.8472,0.0488,1
176.2521,178.2521,Moer,46,0.5664,3.4303,2.8897,3.2065,0.0000,1.3001,0.6780,0.2391,0
178.2521,180.2521,Moer,47,0.3222,3.1861,3.1609,3.7660,0.0000,0.0000,0.0776,0.0000,0
180.2521,182.2521,Moer,45,0.5521,3.4160,3.1367,4.1556,0.0000,0.9714,0.0450,0.0000,1
182.2521,184.2521,Moer,44,-0.0343,2.8295,3.0050,4.3295,0.0000,1.9588,0.0000,0.2045,0
184.2521,186.2521,Moer,48,0.1263,2.9894,3.0050,4.8958,0.0000,0.7095,1.2727,0.0000,0
186.2521,188.2521,Moer,49,-0.4018,2.4588,2.5060,4.9592,0.0000,0.0000,1.9609,0.0000,0
