consultation_start_s,consultation_end_s,dwell_s,n_fixations,target,activity,nearest_activity,nearest_activity_start_s,offset_s,timing
37.44601821899414,38.780269622802734,0.9327125549316406,4,Writebook_4,CortarCacau,CortarCacau,36.25212097167969,1.1938972473144531,depois
39.592899322509766,40.15021896362305,0.4239997863769531,2,Writebook_5,CortarCacau,CortarCacau,36.25212097167969,3.340778350830078,depois
41.77643966674805,42.32136917114258,0.4112281799316406,2,Writebook_5,CortarCacau,CortarCacau,36.25212097167969,5.524318695068359,depois
54.195220947265625,54.741790771484375,0.4986991882324219,2,Writebook_1,CortarCacau,CortarCacau,36.25212097167969,17.943099975585938,fora_janela
80.9729232788086,97.28999328613281,14.679595947265625,27,Paper_0,CortarCacau,SecarSemente,108.70349884033203,-27.730575561523438,fora_janela
98.86255645751953,118.94270324707031,17.557510375976562,35,Paper_0,CortarCacau,SecarSemente,108.70349884033203,-9.8409423828125,fora_janela
123.08329772949219,124.93090057373047,1.8476028442382812,1,Paper_0,SecarSemente,SecarSemente,108.70349884033203,14.379798889160156,fora_janela
129.0198974609375,130.63330078125,1.5720977783203125,2,Paper_0,SecarSemente,DescascarSemente,139.31239318847656,-10.292495727539062,fora_janela
132.32679748535156,133.70799255371094,1.236297607421875,3,Paper_0,SecarSemente,DescascarSemente,139.31239318847656,-6.985595703125,antes
134.6573944091797,139.36810302734375,4.349212646484375,8,Paper_0,SecarSemente,DescascarSemente,139.31239318847656,-4.654998779296875,antes
139.70069885253906,139.9145050048828,0.21380615234375,1,Paper_0,DescascarSemente,DescascarSemente,139.31239318847656,0.3883056640625,depois
152.68679809570312,155.03770446777344,2.3057098388671875,2,Paper_0,DescascarSemente,DescascarSemente,139.31239318847656,13.374404907226562,fora_janela
157.08709716796875,157.77879333496094,0.6020965576171875,3,Paper_0,DescascarSemente,Moer,169.42909240722656,-12.341995239257812,fora_janela
158.50259399414062,161.35130310058594,2.583984375,5,Paper_0,DescascarSemente,Moer,169.42909240722656,-10.926498413085938,fora_janela
167.47860717773438,168.24549865722656,0.646087646484375,2,Paper_0,DescascarSemente,Moer,169.42909240722656,-1.9504852294921875,antes
176.1551055908203,177.4344940185547,0.723907470703125,4,Paper_0,Moer,Moer,169.42909240722656,6.72601318359375,depois
181.3336944580078,184.97430419921875,3.165191650390625,7,Writebook_6,Moer,Moer,169.42909240722656,11.90460205078125,fora_janela
188.69419860839844,191.5343017578125,2.56549072265625,6,Writebook_6,Moer,TorrarAmendoa,195.42149353027344,-6.727294921875,antes
