activity,duration_s,n_samples,mean_residual_pupil_mm,mean_gaze_entropy_bits,task_dwell_s,item_dwell_s,machine_dwell_s,tutorial_dwell_s,support_dwell_s,tutorial_dwell_pct,tutorial_before_task_s,tutorial_after_task_s,n_consult_before,n_consult_after,n_rescue_saccades,confusion_time_s,confusion_pct,n_confusion_episodes
CortarCacau,29.9423,626,0.1275,4.7515,13.1616,0.0000,0.0000,0.0000,16.7807,0.0000,0.0000,0.0000,0,0,0,28.7464,96.0058,1
SecarSemente,31.4338,704,0.2356,4.2471,22.3036,0.0000,0.0000,0.0000,9.1303,0.0000,0.0000,0.0000,0,0,0,23.9245,76.1106,0
DescascarSemente,25.8275,603,0.1610,4.1831,24.4504,0.0000,0.0000,0.0000,1.3771,0.0000,0.0000,0.0000,0,0,0,19.3259,74.8267,2
TorrarAmendoa,17.8822,400,0.0871,4.6366,8.8905,0.0000,0.0000,0.0000,8.9917,0.0000,0.0000,0.0000,0,0,0,15.9454,89.1691,1
Moer,23.1736,534,0.1928,4.2082,11.3411,0.0000,0.0000,0.0000,11.8325,0.0000,0.0000,0.0000,0,0,0,9.0538,39.0696,0
Misturar,14.2989,328,0.1764,4.3156,9.6690,0.0000,0.0000,0.0000,4.6299,0.0000,0.0000,0.0000,0,0,0,10.5012,73.4406,0
Formar,86.2299,1894,0.1976,4.3338,33.7805,0.0000,0.0000,0.0000,52.4494,0.0000,0.0000,0.0000,0,0,0,56.7386,65.7992,3
