SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime
7.513577,Default,CortarCacau,Checker,17740,Floor,-0.0520882,0.4,2.353016,0,1,0,2.3626,-0.009165813,0.8084666,0.02638938,-0.01816743,-0.1728886,0.9847738,0.9999999,0.9999999,0,2.010712,2.337289,2.174001,1,1,1,1,1,0,0.4540701
7.580522,Default,CortarCacau,Checker,17740,Floor,-0.02274424,0.4,2.436659,0,1,0,2.444627,-0.009734168,0.8083761,0.02641817,-0.00532192,-0.1670505,0.985934,0.9999999,0.9999999,0,2.02166,2.371581,2.19662,1,1,1,1,1,0,0.5210152
7.650053,Default,CortarCacau,Wall,17660,Barrier,0.241697,1.115018,4.357419,4.20458E-07,0,-1,4.349072,-0.01018857,0.8082254,0.02649975,0.05791706,0.07054213,0.995826,0.9999999,0.9999999,0,4.989943,3.577935,4.283939,1,1,1,1,1,1,0
7.714002,Default,CortarCacau,Wall,17660,Barrier,0.6670744,1.28771,4.357419,4.20458E-07,0,-1,4.409577,-0.01065965,0.8081687,0.02670485,0.1536959,0.10875,0.9821156,0.9999999,0.9999999,0,2.055892,2.506698,2.281295,1,1,1,1,1,0,0.06394958
7.781135,Default,CortarCacau,Wall,17660,Barrier,0.3866892,0.6104368,4.357418,4.20458E-07,0,-1,4.353187,-0.01103912,0.8081897,0.02695125,0.09136489,-0.04542716,0.9947808,0.9999999,0.9999999,0,2.056791,2.31105,2.18392,1,1,1,1,1,0,0.1310821
7.85121,Default,CortarCacau,Wall,17660,Barrier,0.2735393,0.5355806,4.357418,4.20458E-07,0,-1,4.348123,-0.01136392,0.8081657,0.02721064,0.06552327,-0.06269029,0.9958798,0.9999999,0.9999999,0,2.027105,2.303573,2.165339,1,1,1,1,1,0,0.2011571
7.90426,Default,CortarCacau,Wall,17660,Barrier,0.2662101,0.5310959,4.357418,4.20458E-07,0,-1,4.34773,-0.01166356,0.8079933,0.02742189,0.06391232,-0.06368779,0.9959212,0.9999999,0.9999999,0,2.085795,2.322039,2.203917,1,1,1,1,1,0,0.2542071
7.973165,Default,CortarCacau,Wall,17660,Barrier,0.2852021,0.5069557,4.357419,4.20458E-07,0,-1,4.350255,-0.01208816,0.8077264,0.02776682,0.06833858,-0.06913862,0.9952636,0.9999999,0.9999999,0,2.06627,2.347693,2.206981,1,1,1,1,1,0,0.323112
8.0379,Default,CortarCacau,Wall,17660,Barrier,0.2753961,0.5069646,4.357418,4.20458E-07,0,-1,4.349246,-0.012586,0.807469,0.02813431,0.06621427,-0.06909344,0.9954103,0.9999999,0.9999999,0,2.056447,2.328159,2.192303,1,1,1,1,1,0,0.3878474
8.106884,Default,CortarCacau,Wall,17660,Barrier,0.2329301,0.5097531,4.357419,4.20458E-07,0,-1,4.342823,-0.0119757,0.8136554,0.03216913,0.05639321,-0.06997803,0.9959533,0.9999999,0.9999999,0,2.621057,2.263354,2.442205,1,1,1,1,1,0,0.4568315
8.172902,Default,CortarCacau,Wall,17660,Barrier,0.2209774,0.4853737,4.357418,4.20458E-07,0,-1,4.343704,-0.01257477,0.813562,0.03243157,0.05376796,-0.07555492,0.995691,0.9999999,0.9999999,0,3.700984,3.352883,3.526934,1,1,1,1,1,0,0.5228496
8.238171,Default,CortarCacau,Wall,17660,Barrier,-0.1298589,0.8746996,4.357418,4.20458E-07,0,-1,4.326841,-0.01319736,0.8133159,0.03258528,-0.02696225,0.0141867,0.9995358,0.32768,0.4096,0,2.858099,2.64576,2.75193,1,1,1,1,1,0,0.5881181
8.30456,Default,CortarCacau,Wall,17660,Barrier,-0.1464602,0.871143,4.357418,4.20458E-07,0,-1,4.327081,-0.01379301,0.8131934,0.0327593,-0.03065971,0.01339227,0.9994402,0.5657509,0.7417752,0,2.858099,2.64576,2.75193,1,1,1,1,1,0,0.6545072
8.362355,Default,CortarCacau,Wall,17660,Barrier,-0.5586635,0.8365464,4.357418,4.20458E-07,0,-1,4.358602,-0.01443628,0.8131167,0.03299047,-0.1248628,0.005375502,0.9921595,0.9089314,0.9458463,0,2.858099,2.64576,2.75193,1,1,1,1,1,0,0.7123027
8.427551,Default,CortarCacau,Wall,17660,Barrier,-0.646781,0.8243728,4.357418,4.20458E-07,0,-1,4.370009,-0.01546239,0.8128201,0.03326696,-0.1444662,0.002643659,0.9895062,0.9809015,0.9886432,0,2.858099,2.64576,2.75193,1,1,1,1,1,0,0.7774987
8.49684,Default,CortarCacau,Wall,17660,Barrier,-0.665388,0.8089852,3.940442,0.9999999,0,0,3.960187,-0.01744275,0.8124198,0.03362325,-0.1636148,-0.0008673543,0.9865239,0.9959948,0.9976183,0,2.858099,2.64576,2.75193,1,1,1,1,1,0,0.8467879
8.561323,Default,CortarCacau,Wall,17660,Barrier,-0.665388,0.7974257,3.546966,1,0,0,3.571804,-0.0201907,0.8120558,0.03394829,-0.1806362,-0.004096018,0.9835415,0.9994624,0.9996804,0,2.858099,2.64576,2.75193,1,1,1,1,1,0,0.9112706
8.629578,Default,CortarCacau,Wall,17660,Barrier,-0.665388,0.7891582,3.347542,1,0,0,3.375038,-0.02320362,0.8117198,0.03423929,-0.1902747,-0.006684822,0.9817082,0.9998873,0.9999329,0,2.858099,2.64576,2.75193,1,1,1,1,1,0,0.9795251
8.697028,Default,CortarCacau,Wall,17660,Barrier,-0.665388,0.6231883,3.232359,1,0,0,3.26688,-0.02610011,0.8105919,0.03412627,-0.1956876,-0.05736474,0.978987,0.9999811,0.9999887,0,2.858099,2.64576,2.75193,1,1,1,1,1,0,1.046976
8.760688,Default,CortarCacau,Wall,17660,Barrier,-0.665388,0.4893425,3.131266,1,0,0,3.178455,-0.0279228,0.8089713,0.03384013,-0.2005582,-0.100561,0.974507,0.9999961,0.9999976,0,2.858099,2.64576,2.75193,1,1,1,1,1,0,1.110635
8.830426,Default,CortarCacau,Checker,17740,Floor,-0.4278718,0.4,2.998697,0,1,0,3.019143,-0.02935118,0.808419,0.03397125,-0.131998,-0.1352765,0.981976,0.9999993,0.9999996,0,3.732166,3.163708,3.447937,1,1,1,1,1,1,0
8.898363,Default,CortarCacau,Checker,17740,Floor,-0.2346306,0.4,2.004572,0,1,0,2.022408,-0.0308654,0.8081079,0.03427725,-0.1007537,-0.201793,0.9742321,0.9999999,0.9999999,0,2.68378,2.231041,2.457411,1,1,1,1,1,0,0.0679369
8.950502,Default,CortarCacau,Checker,17740,Floor,-0.2114327,0.4,1.860949,0,1,0,1.879877,-0.03194706,0.8076602,0.03460419,-0.0954773,-0.2168547,0.9715236,0.9999999,0.9999999,0,2.645906,2.233026,2.439466,1,1,1,1,1,0,0.1200762
9.017882,Default,CortarCacau,Checker,17740,Floor,-0.2260968,0.4,1.785768,0,1,0,1.807712,-0.03291789,0.8070855,0.03511428,-0.1068638,-0.2251937,0.9684358,0.9999999,0.9999999,0,2.657969,2.217354,2.437662,1,1,1,1,1,0,0.1874561
9.085278,Default,CortarCacau,Checker,17740,Floor,-0.2385174,0.4,1.800443,0,1,0,1.822406,-0.03362001,0.8065637,0.03582232,-0.1124324,-0.2230917,0.9682918,0.9999999,0.9999999,0,2.638402,2.227361,2.432881,1,1,1,1,1,0,0.2548513
9.151497,Default,CortarCacau,Checker,17740,Floor,-0.3478898,0.4,2.176394,0,1,0,2.200594,-0.03382324,0.8062676,0.03655198,-0.142719,-0.1846172,0.9723929,0.9999999,0.9999999,0,2.660549,2.177524,2.419036,1,1,1,1,1,0,0.3210707
9.220223,Default,CortarCacau,Checker,17740,Floor,-0.4384905,0.4,2.356335,0,1,0,2.388808,-0.03364561,0.8059981,0.0373553,-0.1694757,-0.1699585,0.9707688,0.9999999,0.9999999,0,2.624935,2.186559,2.405747,1,1,1,1,1,0,0.3897972
9.284332,Default,CortarCacau,Checker,17740,Floor,-0.4773121,0.4,2.513926,0,1,0,2.54766,-0.03349614,0.8058095,0.03826051,-0.1742053,-0.1592871,0.9717408,0.9999999,0.9999999,0,2.696123,2.22023,2.458177,1,1,1,1,1,0,0.4539061
9.352115,Default,CortarCacau,Wall,17660,Barrier,-0.665388,0.5162541,2.92344,1,0,0,2.966771,-0.03342351,0.805063,0.0391821,-0.2130142,-0.09734787,0.9721874,0.6399999,0.512,0,2.858099,2.19238,2.52524,1,1,1,1,1,1,0
9.421343,Default,CortarCacau,Wall,17660,Barrier,-0.665388,0.4965886,2.951921,1,0,0,2.995918,-0.03322356,0.8044286,0.0396836,-0.2110086,-0.1027531,0.9720685,0.1073742,0,1,2.858099,2.19238,2.52524,1,1,1,1,1,0,0.06922817
9.484904,Default,CortarCacau,Wall,17660,Barrier,-0.665388,0.4965886,2.951921,1,0,0,2.995918,-0.03322356,0.8044286,0.0396836,-0.2110086,-0.1027531,0.9720685,0,0,1,2.858099,2.19238,2.52524,1,1,1,1,1,0,0.1327896
9.542216,Default,CortarCacau,Wall,17660,Barrier,-0.665388,0.4965886,2.951921,1,0,0,2.995918,-0.03322356,0.8044286,0.0396836,-0.2110086,-0.1027531,0.9720685,0,0,1,2.858099,2.19238,2.52524,1,1,1,1,1,0,0.1901016
9.6079,Default,CortarCacau,Wall,17660,Barrier,-0.665388,0.4965886,2.951921,1,0,0,2.995918,-0.03322356,0.8044286,0.0396836,-0.2110086,-0.1027531,0.9720685,0,0,1,2.858099,2.19238,2.52524,1,1,1,1,1,0,0.255785
9.674038,Default,CortarCacau,Checker,17740,Floor,-0.4077993,0.4,2.23194,0,1,0,2.256538,-0.02905596,0.7947475,0.04271724,-0.1678426,-0.174935,0.9701684,0.3983825,0.2524978,1,2.858099,2.19238,2.52524,1,1,1,1,1,1,0
9.7434,Default,CortarCacau,Checker,17740,Floor,0.04120332,0.4,1.50362,0,1,0,1.513407,-0.02577315,0.7889041,0.04256941,0.04425543,-0.2569725,0.9654049,0.6919718,0.5835761,0,2.858099,2.19238,2.52524,1,1,1,1,1,0,0.06936169
9.797451,Default,CortarCacau,Checker,17740,Floor,0.2082526,0.4,1.205073,0,1,0,1.245391,-0.02226529,0.7845809,0.04319606,0.1850968,-0.3088033,0.9329414,0.9354018,0.9126696,0,2.858099,2.19238,2.52524,1,1,1,1,1,0,0.1234131
9.866331,Default,CortarCacau,Checker,17740,Floor,0.2507424,0.4,1.002066,0,1,0,1.064417,-0.01651409,0.7795928,0.04422147,0.2510827,-0.3566205,0.8998774,0.9864528,0.9816855,0,2.858099,2.19238,2.52524,1,1,1,1,1,0,0.1922932
9.932973,Default,CortarCacau,Checker,17740,Floor,0.2664477,0.4,0.8536296,0,1,0,0.9328176,-0.008937999,0.7752448,0.04523456,0.2952192,-0.4022702,0.8666165,0.9971589,0.9961592,0,2.858099,2.19238,2.52524,1,1,1,1,1,0,0.258935
9.986547,Default,CortarCacau,Checker,17740,Floor,0.4119076,0.4,0.7428,0,1,0,0.892014,-0.001857871,0.7721128,0.0456492,0.4638553,-0.4171602,0.781547,0.9992552,0.9989932,0,2.858099,2.19238,2.52524,1,1,1,1,1,0,0.3125086
10.05668,Default,CortarCacau,Checker,17740,Floor,0.4289453,0.4,0.6622317,0,1,0,0.8323425,0.008867294,0.7682235,0.04519041,0.5046937,-0.4423942,0.7413309,0.9998751,0.9998311,0,2.858099,2.19238,2.52524,1,1,1,1,1,0,0.3826418
10.12859,Default,CortarCacau,Checker,17740,Floor,0.4403148,0.4,0.596854,0,1,0,0.7841389,0.02135152,0.7650214,0.04358834,0.5342972,-0.4655061,0.7055711,0.9999832,0.9999774,0,2.858099,2.19238,2.52524,1,1,1,1,1,0,0.4545479
10.17577,Default,CortarCacau,Checker,17740,Floor,0.5190055,0.4,0.5359011,0,1,0,0.7847204,0.02910637,0.7634254,0.04223419,0.6242977,-0.4631272,0.6290991,0.9999956,0.9999941,0,2.858099,2.19238,2.52524,1,1,1,1,1,0,0.5017271
10.24457,Default,CortarCacau,Checker,17740,Floor,0.7174726,0.4,0.4125259,0,1,0,0.8530895,0.04097712,0.7602544,0.03791629,0.7929946,-0.4222938,0.4391213,0.9999993,0.999999,0,2.858099,2.19238,2.52524,1,1,1,1,1,0,0.5705271
10.29971,Default,CortarCacau,Wood,17658,Barrier,0.7761906,0.4211828,0.3670757,-1,0,-1.315223E-07,0.8676333,0.04975451,0.7583333,0.03329783,0.8372615,-0.3885863,0.3846997,0.9999998,0.9999997,0,3.188423,2.823662,3.006042,1,1,1,1,1,1,0
10.36501,Default,CortarCacau,Checker,17740,Floor,0.7690188,0.4,0.3959017,0,1,0,0.874298,0.0623862,0.7573299,0.02524961,0.8082285,-0.4087049,0.4239423,0.9999999,0.9999999,0,2.848686,2.400731,2.624708,1,1,1,1,1,1,0
10.45304,Default,CortarCacau,Checker,17740,Floor,0.7469164,0.4,0.3582635,0,1,0,0.8384017,0.06805364,0.757197,0.01992454,0.8097106,-0.4260452,0.4035521,0.9999999,0.9999999,0,2.913127,2.328349,2.620738,1,1,1,1,1,0,0.08803463
10.48674,Default,CortarCacau,Checker,17740,Floor,0.7386503,0.4,0.3554664,0,1,0,0.830088,0.07008779,0.7576708,0.01761767,0.8054118,-0.430883,0.4070035,0.9999999,0.9999999,0,2.823033,2.349918,2.586475,1,1,1,1,1,0,0.1217318
10.55637,Default,CortarCacau,Checker,17740,Floor,0.7393246,0.4,0.3681195,0,1,0,0.835952,0.07288288,0.7592659,0.01371956,0.7972248,-0.4297686,0.4239476,0.9999999,0.9999999,0,2.900566,2.336786,2.618676,1,1,1,1,1,0,0.1913586
10.61248,Default,CortarCacau,Checker,17740,Floor,0.7425253,0.4,0.3819005,0,1,0,0.8453842,0.07397141,0.7609159,0.01115788,0.7908284,-0.4269252,0.4385492,0.9999999,0.9999999,0,2.955717,2.376242,2.66598,1,1,1,1,1,0,0.2474699
