SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime
25.78519,Default,CortarCacau,Wall,17664,Barrier,0.3865645,0.7307997,4.357418,4.20458E-07,0,-1,4.773606,0.2624207,0.7474619,-0.4145448,0.0260063,-0.003490441,0.9996557,0.9999998,0.9999993,0,2.445323,3.074182,2.759752,1,1,1,1,1,1,0
25.78519,Default,CortarCacau,Wall,17664,Barrier,-0.04626429,1.052188,4.357418,4.20458E-07,0,-1,4.793164,0.2635414,0.7453355,-0.4158705,-0.0646349,0.06401876,0.9958534,0.7912449,0.7999999,0,2.382971,3.02668,2.704826,1,1,1,1,1,0,0
25.80519,Default,CortarCacau,Wall,17664,Barrier,-0.0447287,1.054075,4.357418,4.20458E-07,0,-1,4.793291,0.2635426,0.7452247,-0.4159682,-0.06431305,0.0644338,0.9958475,0.5063967,0.512,0,2.382971,3.02668,2.704826,1,1,1,1,1,0,0.01999855
25.86551,Default,CortarCacau,Wall,17664,Barrier,0.05374432,1.03389,4.357418,4.20458E-07,0,-1,4.786823,0.2629319,0.7445859,-0.4160728,-0.04370069,0.06043753,0.9972149,0.8001009,0.3393245,0,2.382971,3.02668,2.704826,1,1,1,1,1,0,0.08032036
25.91954,Default,CortarCacau,Wall,17664,Barrier,0.3420769,1.012499,4.357419,4.20458E-07,0,-1,4.781646,0.26213,0.7439851,-0.4160125,0.01671953,0.05615512,0.9982821,0.9181213,0.7835099,0,2.382971,3.02668,2.704826,1,1,1,1,1,0,0.1343517
25.988,Default,CortarCacau,Wall,17664,Barrier,0.4123609,0.982699,4.357418,4.20458E-07,0,-1,4.781455,0.2604402,0.7431731,-0.4156158,0.03177291,0.05009479,0.9982389,0.986263,0.963679,0,2.382971,3.02668,2.704826,1,1,1,1,1,0,0.2028065
26.04146,Default,CortarCacau,Wall,17664,Barrier,0.4280809,0.9713994,4.357419,4.20458E-07,0,-1,4.780931,0.2593242,0.7428279,-0.4150626,0.03529788,0.04780902,0.9982326,0.9929667,0.9814036,0,2.382971,3.02668,2.704826,1,1,1,1,1,0,0.2562637
26.09627,Default,CortarCacau,Wall,17664,Barrier,0.2853982,0.9444372,4.357418,4.20458E-07,0,-1,4.77628,0.2581661,0.7422953,-0.4145048,0.005701546,0.04232205,0.9990878,0.4067192,0.401983,0,2.382971,3.02668,2.704826,1,1,1,1,1,0,0.311079
26.15952,Default,CortarCacau,Wall,17664,Barrier,0.2975041,0.9198918,4.357419,4.20458E-07,0,-1,4.774877,0.25745,0.7422558,-0.413985,0.008388511,0.03720222,0.9992726,0.4808223,0,1,2.382971,3.02668,2.704826,1,1,1,1,1,0,0.3743286
26.22008,Default,CortarCacau,Wall,17664,Barrier,0.378166,0.8746805,4.357418,4.20458E-07,0,-1,4.773932,0.2555672,0.742062,-0.4130962,0.0256809,0.02777972,0.9992841,0.7270468,0.5311626,0,2.382971,3.02668,2.704826,1,1,1,1,1,0,0.4348907
