start_s,end_s,duration_s,activity,mean_gaze_entropy_bits,mean_transition_entropy_bits,mean_k_coefficient,mean_confusion_score,n_targets_scanned,targets
7.400691032409668,17.560569763183594,10.159878730773926,CortarCacau,4.479881763458252,1.1435843862518253,0.5524042248725891,0.6221030354499817,3,Wall|Wood|Checker
50.062049865722656,53.40422821044922,3.3421783447265625,CortarCacau,4.519195556640625,1.1435843862518253,0.45461970567703247,0.5337379574775696,1,Checker
59.61756134033203,78.6666488647461,19.049087524414062,CortarCacau,4.320751667022705,1.1435843862518253,0.8994223475456238,0.5905765891075134,4,Checker|Wood|Wall|Writebook_6
108.92489624023438,153.53280639648438,44.60791015625,SecarSemente,4.589521408081055,1.1435843862518253,0.5385062098503113,0.6390982866287231,3,Wall|Wood|Checker
166.15350341796875,169.49180603027344,3.3383026123046875,DescascarSemente,4.389062881469727,1.1435843862518253,1.107263445854187,0.6091969013214111,2,Wall|Wood
171.24090576171875,196.5576934814453,25.316787719726562,DescascarSemente,4.404255390167236,1.1435843862518253,0.48241516947746277,0.6059161424636841,3,Wall|Wood|Checker
198.23980712890625,212.7624969482422,14.522689819335938,Moer,4.354538917541504,1.1435843862518253,-0.4455866515636444,0.6157742738723755,3,Checker|Wall|Wood
226.9304962158203,249.94189453125,23.011398315429688,TorrarAmendoa,4.969912528991699,1.1435843862518253,-0.31269359588623047,0.7316134572029114,4,Checker|Wall|Wood|Paper_0
259.876708984375,269.309814453125,9.43310546875,Misturar,4.2730512619018555,1.1435843862518253,0.15030375123023987,0.6013573408126831,4,Checker|Wood|Wall|Writebook_5
277.7744140625,282.8633117675781,5.088897705078125,Formar,4.750155448913574,1.1435843862518253,-0.6075857281684875,0.6870078444480896,3,Wall|Checker|Wood
293.2027893066406,301.1748962402344,7.97210693359375,Formar,4.196671485900879,1.1435843862518253,0.06551635265350342,0.5673161745071411,3,Wall|Checker|Wood
317.4580078125,420.6871032714844,103.22909545898438,Formar,4.620294570922852,1.1435843862518253,-0.017174705862998962,0.6569628715515137,3,Checker|Wall|Wood
429.93011474609375,442.0238952636719,12.093780517578125,Formar,4.4739532470703125,1.1435843862518253,2.686992883682251,0.6071416735649109,4,Checker|Wall|Wood|Writebook_5
