window_start_s,window_end_s,dominant_activity,n_samples,mean_residual_pupil_mm,mean_raw_pupil_mm,mean_gaze_entropy_bits,mean_target_switch_rate_hz,task_dwell_s,tutorial_dwell_s,support_dwell_s,confusion_frac,n_rescue_saccades
93.4007,95.4007,CortarCacau,40,-1.4228,1.8301,3.8996,3.7125,0.0000,1.7611,0.2012,0.1500,0
95.4007,97.4007,CortarCacau,40,-0.8091,2.4379,3.6310,3.0250,0.0000,1.3569,0.6145,0.1000,0
97.4007,99.4007,CortarCacau,41,-0.3366,2.8927,3.6012,1.5000,0.0000,0.0000,1.9011,0.0000,0
99.4007,101.4007,CortarCacau,46,-0.3447,2.8847,3.5773,0.9783,0.0000,0.0000,1.9823,0.0000,0
101.4007,103.4007,CortarCacau,45,-0.5950,2.6344,3.2344,0.2444,0.0000,0.0000,1.9723,0.0000,0
103.4007,105.4007,CortarCacau,43,-0.9453,2.2841,3.2344,0.0000,0.0000,0.0000,1.9443,0.0000,0
105.4007,107.4007,SecarSemente,43,-0.7196,2.5098,3.5733,0.1977,0.0000,0.0000,1.9596,0.0000,0
107.4007,109.4007,SecarSemente,44,-0.4119,2.8175,4.2753,1.9205,0.0000,0.0000,1.9486,0.2500,0
109.4007,111.4007,SecarSemente,45,-0.3906,2.8382,4.2753,4.4778,0.0000,0.0000,1.9612,1.0000,0
111.4007,113.4007,SecarSemente,36,-0.3511,2.8960,4.6435,6.2639,0.8126,0.0000,1.1011,1.0000,0
113.4007,115.4007,SecarSemente,40,-0.2233,3.0350,4.9729,7.0000,1.3496,0.0000,0.6018,1.0000,0
115.4007,117.4007,SecarSemente,48,-0.1032,3.1582,4.9729,8.1667,1.4696,0.0000,0.5244,1.0000,0
117.4007,119.4007,SecarSemente,50,0.1967,3.4624,4.5262,9.2100,1.6013,0.0000,0.3450,1.0000,0
119.4007,121.4007,SecarSemente,50,0.2621,3.5256,4.3693,6.6600,1.4604,0.0000,0.5110,1.0000,0
121.4007,123.4007,SecarSemente,50,-0.1181,3.1492,4.4056,4.0100,1.8201,0.0000,0.1287,1.0000,0
123.4007,125.4007,SecarSemente,50,-0.2715,3.0017,4.4759,3.0400,1.9713,0.0000,0.0000,1.0000,0
125.4007,127.4007,SecarSemente,45,-0.0533,3.2198,4.4759,3.6889,1.9272,0.0000,0.0000,1.0000,0
127.4007,129.4007,SecarSemente,48,0.0615,3.3348,4.5729,2.5000,1.9708,0.0000,0.0000,1.0000,0
129.4007,131.4007,SecarSemente,44,-0.3582,2.9083,4.5923,3.3977,1.7729,0.0000,0.1898,1.0000,0
131.4007,133.4007,SecarSemente,40,-0.5183,2.7128,4.6223,3.5000,0.0000,0.0000,1.9492,1.0000,0
133.4007,135.4007,SecarSemente,40,-0.8793,2.3544,4.8927,4.9125,0.0473,0.0000,1.9015,1.0000,0
135.4007,137.4007,SecarSemente,46,-0.4267,2.8436,4.8927,6.0978,1.9154,0.0000,0.0000,1.0000,0
137.4007,139.4007,SecarSemente,47,-0.3176,2.9510,4.8195,8.3936,1.6940,0.0000,0.2879,1.0000,0
139.4007,141.4007,SecarSemente,45,-0.6538,2.6143,4.6904,9.5889,1.8904,0.0000,0.0346,1.0000,0
141.4007,143.4007,SecarSemente,45,-0.6060,2.6610,4.6904,9.7000,1.8438,0.0000,0.1370,1.0000,0
143.4007,145.4007,SecarSemente,45,-0.6668,2.5920,4.6749,10.2778,1.2995,0.0000,0.6483,1.0000,0
145.4007,147.4007,SecarSemente,48,-0.4855,2.7857,4.6686,8.8125,1.9527,0.0000,0.0000,1.0000,0
147.4007,149.4007,SecarSemente,43,-1.0648,2.1995,4.6314,5.7907,1.5543,0.0000,0.4355,1.0000,0
149.4007,151.4007,SecarSemente,45,-0.5184,2.7489,4.1354,3.8111,1.7476,0.0000,0.1879,1.0000,0
151.4007,153.4007,SecarSemente,40,-0.2939,2.9447,4.1354,3.4000,0.2452,0.0000,1.7148,0.9250,0
153.4007,155.4007,SecarSemente,42,-0.6650,2.6065,4.0191,1.7500,1.9261,0.0000,0.0000,0.0714,0
155.4007,157.4007,SecarSemente,44,-0.1950,3.0781,3.6468,1.2841,1.9830,0.0000,0.0000,0.0000,0
157.4007,159.4007,SecarSemente,43,0.0585,3.3316,3.6468,0.7558,1.9275,0.0000,0.0000,0.0000,0
159.4007,161.4007,DescascarSemente,42,0.0097,3.2827,3.8569,1.0000,1.9499,0.0000,0.0000,0.0000,0
161.4007,163.4007,DescascarSemente,43,0.1334,3.4071,4.1113,1.3953,1.9633,0.0000,0.0000,0.0000,0
163.4007,165.4007,DescascarSemente,45,0.6840,3.9297,4.1113,2.0000,0.7363,0.0000,1.2132,0.2000,0
165.4007,167.4007,DescascarSemente,44,0.4324,3.6614,4.3070,2.6477,0.0000,0.0000,1.9384,0.6364,0
167.4007,169.4007,DescascarSemente,46,0.1489,3.3797,4.3891,3.0326,0.0895,0.0000,1.8613,1.0000,0
