target,category,dwell_s,n_visits,dwell_pct
Checker,task,223.9128,114,51.4691
Wall,support,171.0152,135,39.3099
Wood,task,20.4531,146,4.7014
Writebook_6,tutorial,14.7773,10,3.3967
Writebook_5,tutorial,3.6263,6,0.8336
Paper_0,tutorial,1.2587,2,0.2893
