SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,TargetCategory,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime
16.8485,Default,CortarCacau,Wall,23926,Barrier,support,-0.2682229,0.9449798,4.357418,4.20458E-07,0,-1,5.080063,0.03990864,1.667499,-0.6615517,-0.06065503,-0.1422265,0.987974,0.9999999,0.9999999,0,2.974423,2.982466,2.978445,1,1,1,1,1,0,0.5873737
16.91792,Default,CortarCacau,Wall,23926,Barrier,support,-0.196746,0.9718227,4.357418,4.20458E-07,0,-1,5.072253,0.03242584,1.667901,-0.661616,-0.04518143,-0.1372326,0.9895079,0.9999999,0.9999999,0,2.938037,2.93831,2.938173,1,1,1,1,1,0,0.6567974
16.98328,Default,CortarCacau,Wall,23926,Barrier,support,-0.1510254,1.004946,4.357418,4.20458E-07,0,-1,5.065791,0.02610566,1.668431,-0.6616104,-0.03496606,-0.1309735,0.990769,0.9999999,0.9999999,0,2.862695,2.867329,2.865012,1,1,1,1,1,0,0.7221527
17.04061,Default,CortarCacau,Wall,23926,Barrier,support,-0.1898282,0.9419014,4.357418,4.20458E-07,0,-1,5.075822,0.02182478,1.668133,-0.661721,-0.04169824,-0.1430767,0.9888328,0.9999999,0.9999999,0,2.896793,2.823998,2.860395,1,1,1,1,1,0,0.77948
17.10662,Default,CortarCacau,Wall,23926,Barrier,support,-0.6399244,0.737201,4.357418,4.20458E-07,0,-1,5.146575,0.01737332,1.66724,-0.6615685,-0.1277155,-0.1807102,0.975209,0.9999999,0.9999999,0,2.829772,2.812617,2.821195,1,1,1,1,1,0,0.8454895
17.1716,Default,CortarCacau,Wall,23926,Barrier,support,-0.665388,0.8110951,3.910765,0.9999999,0,0,4.701258,0.01354256,1.666529,-0.6618838,-0.1444146,-0.1819586,0.9726436,0.9999999,0.9999999,0,2.782202,2.821718,2.80196,1,1,1,1,1,0,0.910471
17.24267,Default,CortarCacau,Wall,23926,Barrier,support,-0.665388,0.8358604,3.795018,0.9999999,0,0,4.585027,0.01024832,1.666915,-0.6631583,-0.1473571,-0.1812541,0.9723337,0.9999999,0.9999999,0,2.73069,2.761425,2.746058,1,1,1,1,1,0,0.9815445
17.30495,Default,CortarCacau,Wall,23926,Barrier,support,-0.665388,0.8804978,3.662399,1,0,0,4.449754,0.008230964,1.668449,-0.6649196,-0.1513834,-0.1770774,0.9724848,0.9999999,0.9999999,0,2.75501,2.804487,2.779748,1,1,1,1,1,0,1.043823
17.37475,Default,CortarCacau,Wall,23926,Barrier,support,-0.665388,0.9378545,3.451253,1,0,0,4.236413,0.007300096,1.669674,-0.6668931,-0.1587872,-0.172745,0.9720833,0.9999999,0.9999999,0,2.718823,2.768732,2.743778,1,1,1,1,1,0,1.113626
17.44088,Default,CortarCacau,Wall,23926,Barrier,support,-0.665388,0.9996734,2.965003,1,0,0,3.756946,0.007552238,1.669232,-0.6700331,-0.179119,-0.1782188,0.9675508,0.9999999,0.9999999,0,2.716122,2.778738,2.74743,1,1,1,1,1,0,1.179752
17.50762,Default,CortarCacau,Wall,23926,Barrier,support,-0.665388,1.091222,2.578581,1,0,0,3.371402,0.008705312,1.666739,-0.6742228,-0.1999445,-0.1707056,0.9648222,0.9999999,0.9999999,0,2.695538,2.819568,2.757553,1,1,1,1,1,0,1.246492
17.57309,Default,CortarCacau,Wall,23926,Barrier,support,-0.665388,1.147902,2.058196,1,0,0,2.867367,0.01040109,1.662805,-0.6804125,-0.2356828,-0.1795734,0.9550953,0.9999999,0.9999999,0,2.700696,2.776407,2.738552,1,1,1,1,1,0,1.311962
17.64256,Default,CortarCacau,Writebook_4,-818,Default,tutorial,-1.561027,1.08984,3.281985,0.490819,-0.3904486,-0.7788751,4.016414,0.01208677,1.661122,-0.6874696,-0.3489001,-0.1762614,0.920435,0.9999999,0.9999999,0,2.764518,2.696647,2.730582,1,1,1,1,1,1,0
17.70625,Default,CortarCacau,Writebook_5,-826,Default,tutorial,-1.085479,1.622673,0.8922269,0.8537139,-0.5085257,-0.1121356,1.755426,0.01396444,1.661149,-0.6941583,-0.4560962,-0.1233095,0.8813461,0.9999999,0.9999999,0,2.729498,2.689844,2.709671,1,1,1,1,1,1,0
17.78819,Default,CortarCacau,Writebook_5,-826,Default,tutorial,-1.085479,1.622673,0.8922271,0.7490693,-0.4497211,-0.486463,1.665951,0.01660016,1.661412,-0.7033345,-0.5041595,-0.1177355,0.8555475,0.9999999,0.9999999,0,2.728965,2.75922,2.744092,1,1,1,1,1,0,0.08193779
17.85035,Default,CortarCacau,Writebook_5,-826,Default,tutorial,-1.085479,1.622671,0.8922282,0.6467797,-0.4962783,-0.5791235,1.665694,0.01835629,1.661395,-0.7102768,-0.5267848,-0.1275271,0.8403776,0.9999999,0.9999999,0,2.680448,2.782392,2.73142,1,1,1,1,1,0,0.1440945
