SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,TargetCategory,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime,AvgPupil_raw,EffectiveLuminance,PredictedPupil,ResidualPupil,VOICategory,GazeEntropy,TargetSwitchRate,FixationId,KCoefficient,RescueSaccade,ConfusionScore,Confusion
123.0833,Default,SecarSemente,Paper_0,-462,Default,tutorial,1.634086,1.52904,-3.134434,0.6460239,-0.4638734,-0.606197,4.272597,4.807719,2.243466,-6.47619,-0.6671869,-0.2214958,0.711197,0.8536569,0.7814298,False,3.175964,3.386119,3.281041,True,True,True,True,True,False,0.1339035,3.281041,0.425,2.8638737,0.4171672,tutorial,1.9947087,3.0,130,2.0924056,True,0.4,False
129.0199,Default,SecarSemente,Paper_0,-462,Default,tutorial,1.634086,1.52904,-3.134433,0.881373,-0.3294444,-0.338597,4.238949,4.779058,2.208277,-6.457025,-0.6379614,-0.1990963,0.7438856,0.9999999,0.9999999,False,6.224508,2.666886,4.445697,True,True,True,True,True,True,0.0,4.445697,0.425,2.8638737,1.5818231,tutorial,1.159262,5.5,135,0.31970647,True,0.4,False
132.3268,Default,SecarSemente,Paper_0,-462,Default,tutorial,1.634,1.528888,-3.134289,0.6452468,-0.6855133,-0.337236,4.290168,4.760072,2.191696,-6.390794,-0.653459,-0.2343884,0.7197592,0.9999999,0.9999672,False,2.36761,2.375673,2.371641,True,True,True,True,True,False,0.04510498,2.371641,0.425,2.8638737,-0.4922328,tutorial,1.159262,5.0,140,0.7219551,True,0.4,False
134.6574,Default,SecarSemente,Paper_0,-462,Default,tutorial,1.634086,1.52904,-3.134433,0.4899846,-0.7302976,-0.4760047,4.14157,4.538033,2.278517,-6.345678,-0.6420162,-0.2691311,0.7179022,0.9999999,0.9999999,False,2.467902,2.31407,2.390986,True,True,True,True,True,False,0.1032715,2.390986,0.425,2.8638737,-0.47288775,tutorial,1.1412816,6.5,146,-0.14060502,True,0.428121,False
